A,B,C,D,Volume,Area,Area_Formula,Volume_Formula,Peso,Densidade_arquimedes,Densidade_imagem,Densidade_formula,Classe
63.05,43.96,33.17,29.88,62.80,77.94,78.92,63.81,59.90,1084.94,953.86,938.73,0
61.06,45.73,31.17,29.88,63.86,78.21,80.79,66.86,61.30,1077.07,959.95,916.87,1
61.50,43.68,31.12,30.38,59.32,74.71,76.77,61.43,57.80,1080.23,974.43,940.95,1
60.54,43.96,32.67,27.87,57.76,74.09,76.48,61.26,57.10,1077.24,988.61,932.03,1
60.33,45.75,30.40,29.93,60.76,75.73,80.11,66.12,59.90,1084.94,985.78,905.90,1
58.56,45.75,29.90,28.66,62.06,76.45,78.33,64.18,57.20,1071.02,921.69,891.19,1
59.02,47.43,29.79,29.23,67.41,80.44,82.43,69.51,64.80,1077.84,961.34,932.19,1
58.79,43.73,31.90,26.89,56.84,72.39,74.31,58.88,57.20,1077.09,1006.37,971.52,1
60.62,44.01,32.44,28.18,58.51,74.00,76.65,61.47,59.00,1074.49,1008.41,959.81,1
59.06,43.98,30.40,28.66,58.30,73.51,75.07,59.82,55.90,1081.17,958.75,934.40,1
56.19,43.86,31.22,24.97,54.38,70.02,72.09,56.60,53.20,1066.14,978.32,939.93,1
57.52,43.42,33.33,24.20,55.57,71.32,72.52,56.79,51.30,1068.84,923.08,903.30,1
58.67,43.88,30.84,27.84,58.03,73.14,74.48,59.16,56.60,1073.89,975.36,956.80,1
55.09,42.26,27.93,27.16,50.81,66.99,67.76,51.52,51.10,1066.90,1005.76,991.88,0
58.75,45.21,30.12,28.64,61.34,75.88,77.37,62.88,60.00,1063.59,978.14,954.19,0
60.23,44.36,30.47,29.76,59.65,74.90,77.00,62.05,58.00,1077.91,972.29,934.73,0
58.12,44.23,30.56,27.55,58.51,73.51,74.68,59.54,57.60,1070.48,984.40,967.45,1
56.11,43.03,30.20,25.91,54.32,70.01,70.29,54.41,52.70,1062.52,970.14,968.62,1
58.83,42.24,31.92,26.91,53.62,69.86,71.23,54.96,53.90,1075.84,1005.29,980.78,1
58.31,43.24,29.93,28.39,55.39,71.25,72.78,57.07,54.50,1085.65,983.87,954.90,1
59.98,43.43,32.63,27.35,57.32,73.05,74.81,59.23,57.70,1070.35,1006.62,974.19,1
58.41,41.54,30.47,27.93,51.78,68.38,69.37,52.76,52.00,1061.27,1004.22,985.50,1
57.50,44.19,29.14,28.37,58.07,73.17,73.99,58.80,58.10,1069.81,1000.51,988.03,1
59.50,44.19,31.13,28.37,58.47,73.73,75.94,60.85,54.90,1072.22,938.94,902.27,1
58.54,42.71,31.15,27.39,54.37,70.41,71.93,55.93,54.30,1083.83,998.63,970.92,1
58.54,44.98,31.15,27.39,60.40,75.11,76.69,62.02,59.60,1081.47,986.82,960.99,1
57.16,44.33,28.68,28.48,57.19,72.11,73.95,58.82,54.20,1081.83,947.74,921.50,1
59.65,44.62,32.09,27.56,60.60,75.15,77.02,62.18,60.50,1074.36,998.30,972.94,1
58.47,42.91,29.85,28.62,55.70,71.35,72.25,56.37,55.90,1068.74,1003.63,991.70,0
61.08,45.75,34.67,26.41,64.96,79.15,80.95,66.94,59.50,1069.93,915.89,888.81,1
58.63,46.07,33.96,24.67,62.79,77.00,79.21,65.16,59.90,1071.33,954.05,919.22,1
60.48,46.19,34.65,25.84,64.96,78.93,81.32,67.57,64.10,1069.76,986.77,948.62,1
62.12,44.28,35.21,26.91,62.14,77.16,78.76,63.77,59.80,1069.54,962.41,937.74,1
57.65,43.62,32.08,25.57,55.45,70.72,72.99,57.43,53.50,1072.15,964.78,931.55,1
57.59,44.78,32.94,24.64,58.98,73.89,75.39,60.45,55.20,1075.97,935.89,913.09,1
61.42,49.61,32.97,28.46,75.77,87.16,89.88,79.16,69.60,1068.63,918.58,879.27,1
58.73,44.44,31.87,26.87,58.08,73.28,75.75,60.74,56.60,1069.83,974.53,931.77,1
59.52,44.71,33.92,25.60,61.13,75.86,77.15,62.30,60.50,1068.65,989.63,971.06,0
58.36,44.53,29.95,28.41,58.64,73.82,75.53,60.58,58.10,1073.77,990.84,958.99,1
60.54,44.98,32.67,27.87,63.08,77.46,78.67,64.14,58.80,1070.85,932.17,916.80,1
55.90,44.48,30.68,25.21,56.32,71.29,73.06,57.89,62.10,1066.71,1102.54,1072.63,0
57.31,44.63,31.95,25.36,57.99,72.91,74.77,59.76,53.80,1071.70,927.76,900.25,1
57.00,44.96,29.39,27.62,58.32,73.28,75.12,60.34,56.20,1074.48,963.61,931.44,0
59.29,44.23,32.40,26.89,58.60,73.81,75.85,60.74,59.10,1076.31,1008.52,973.01,1
59.20,45.16,31.10,28.10,61.42,75.86,77.71,63.22,61.30,1077.07,998.12,969.69,1
58.55,44.88,32.98,25.57,60.56,75.50,76.54,61.76,57.10,1071.16,942.84,924.58,1
55.70,46.13,30.72,24.97,59.67,74.17,76.31,62.05,54.70,1072.51,916.72,881.56,1
62.42,45.57,32.22,30.20,64.66,79.12,81.82,67.88,60.50,1074.36,935.70,891.26,1
57.99,45.63,29.26,28.73,61.47,75.68,77.50,63.22,58.90,1072.67,958.26,931.67,1
58.83,43.76,33.71,25.12,57.31,72.79,74.46,58.98,56.50,1072.00,985.79,957.93,0
58.58,44.91,31.95,26.64,59.28,74.00,76.60,61.88,58.40,1071.38,985.10,943.76,0
60.67,46.00,34.88,25.78,64.09,78.26,81.10,67.22,60.60,1072.32,945.55,901.46,1
61.97,48.06,36.41,25.57,72.46,85.03,87.07,74.94,68.40,1073.32,943.98,912.69,1
62.62,44.38,36.02,26.60,62.32,77.38,79.50,64.58,61.30,1069.53,983.65,949.23,1
59.65,43.06,32.49,27.16,57.35,72.93,73.72,57.91,55.00,1072.07,958.97,949.78,0
60.65,45.55,31.94,28.71,63.85,78.16,80.00,65.88,61.90,1076.24,969.48,939.52,1
62.39,42.78,34.71,27.68,59.38,75.23,75.77,59.80,57.50,1072.62,968.26,961.58,1
59.82,44.20,33.30,26.53,59.25,74.50,76.32,61.19,56.60,1073.89,955.31,924.93,0
59.92,44.88,32.09,27.84,60.36,75.08,77.84,63.20,58.00,1066.00,960.93,917.68,1
60.29,45.41,32.77,27.52,57.88,74.36,79.36,65.10,59.30,1074.07,1024.45,910.97,1
64.32,44.48,33.40,30.92,64.19,79.04,81.31,66.64,60.40,1065.00,940.95,906.33,1
63.37,44.53,35.19,28.18,63.52,78.47,80.51,65.79,60.30,1059.50,949.29,916.61,1
60.67,44.33,34.49,26.19,61.56,76.48,77.45,62.43,58.80,1065.02,955.09,941.87,0
56.94,45.66,29.59,27.35,60.73,75.05,76.52,62.15,65.60,1073.26,1080.14,1055.47,1
62.70,48.16,33.62,29.09,72.39,84.82,87.94,76.14,56.10,1076.69,774.98,736.76,1
59.08,46.72,30.78,28.30,65.97,79.63,80.94,67.51,61.40,1062.00,930.77,909.55,0
58.86,46.55,32.22,26.64,64.71,78.54,80.38,66.77,61.70,1078.40,953.50,924.11,1
60.77,44.96,33.13,27.64,63.08,77.58,78.87,64.32,62.70,1073.32,993.95,974.77,1
56.99,43.19,30.88,26.10,54.10,69.85,71.46,55.67,53.70,1074.00,992.58,964.61,1
59.61,44.48,32.05,27.55,60.35,75.24,76.68,61.75,57.00,1071.30,944.56,923.05,0
58.09,45.16,32.44,25.65,60.21,75.05,76.67,62.04,54.90,1074.32,911.76,884.97,0
56.50,45.21,30.63,25.87,57.30,72.33,75.17,60.47,53.20,1074.77,928.53,879.71,1
60.90,44.37,34.08,26.82,61.05,75.73,77.75,62.78,58.60,1069.16,959.91,933.47,1
60.45,46.10,33.24,27.21,65.72,79.67,81.03,67.27,66.00,1081.58,1004.20,981.19,1
59.21,45.10,32.99,26.22,61.29,76.03,77.65,63.07,61.50,1069.29,1003.38,975.17,1
62.34,47.46,36.34,26.00,72.06,84.67,86.08,73.52,68.30,1071.75,947.87,928.98,1
61.50,47.21,33.38,28.12,71.13,83.61,84.55,71.77,63.90,1068.21,898.38,890.40,1
61.87,45.47,33.61,28.26,64.93,79.17,81.09,66.99,60.80,1073.95,936.39,907.56,1
57.19,43.28,29.40,27.80,54.85,70.65,71.80,56.09,57.60,1066.51,1050.09,1026.95,0
61.10,43.42,31.03,30.07,59.00,74.63,75.84,60.32,58.10,1073.77,984.72,963.22,0
59.92,45.64,32.60,27.32,63.49,77.50,79.50,65.37,62.50,1071.74,984.45,956.08,1
60.65,45.55,31.94,28.71,64.37,78.63,80.00,65.88,60.50,1072.45,939.83,918.27,1
59.29,45.44,32.02,27.27,62.11,76.74,78.43,64.11,57.40,1070.75,924.13,895.34,1
56.97,44.93,29.12,27.85,58.78,73.56,75.00,60.20,57.20,1059.10,973.14,950.13,1
57.69,41.64,31.35,26.34,51.07,67.48,68.95,52.38,47.60,1044.06,932.10,908.68,0
65.50,47.44,35.88,29.62,76.00,88.04,89.25,77.18,72.30,1072.15,951.30,936.73,1
57.63,43.80,30.70,26.94,55.89,71.48,73.33,57.91,54.70,1072.51,978.67,944.63,1
61.67,44.05,34.98,26.69,61.52,76.62,77.83,62.67,57.90,1060.26,941.09,923.91,0
59.03,46.80,33.98,25.05,65.86,79.57,81.19,67.71,63.80,1070.12,968.71,942.27,1
62.65,46.37,34.83,27.82,66.99,80.51,83.89,70.54,63.70,1072.05,950.91,903.04,1
60.41,45.63,34.84,25.57,63.60,77.64,80.04,65.87,61.70,1070.90,970.16,936.75,1
63.62,45.52,35.69,27.93,67.25,81.36,82.99,69.04,65.90,1069.40,979.88,954.57,1
60.33,45.75,35.19,25.14,64.51,78.66,80.24,66.12,62.30,1073.84,965.69,942.21,1
61.19,46.89,34.10,27.09,68.07,81.22,83.55,70.46,63.20,1076.34,928.41,897.02,1
57.55,43.95,29.79,27.77,55.58,71.29,73.54,58.21,51.60,1068.40,928.41,886.38,1
59.72,44.68,33.63,26.09,60.57,75.47,77.25,62.41,57.50,1076.64,949.28,921.36,1
65.07,49.00,36.91,28.16,79.57,90.53,92.47,81.79,76.20,1072.60,957.68,931.65,1
58.43,44.08,30.72,27.71,58.71,73.90,74.67,59.45,59.00,1074.49,1004.85,992.44,1
60.94,45.14,33.62,27.32,64.01,78.15,79.44,65.03,62.50,1073.58,976.43,961.11,1
59.88,46.80,33.44,26.44,66.17,79.77,81.99,68.65,60.60,1074.22,915.78,882.68,0
58.43,45.29,33.11,25.32,61.96,76.55,77.31,62.77,57.00,1063.29,919.97,908.05,1
61.97,46.87,34.24,27.74,69.04,82.38,84.31,71.30,64.20,1069.64,929.88,900.48,1
60.22,45.17,31.85,28.37,62.46,76.90,78.76,64.35,60.70,1077.91,971.87,943.32,1
57.38,44.55,32.19,25.19,58.75,73.73,74.70,59.64,59.00,1068.64,1004.22,989.24,0
62.54,45.33,32.65,29.89,64.25,78.75,81.42,67.29,63.30,1070.74,985.19,940.64,0
62.77,45.96,32.40,30.37,67.94,81.62,83.03,69.42,62.90,1071.23,925.85,906.06,1
56.54,43.73,31.90,24.64,54.67,70.28,72.19,56.63,57.70,1066.38,1055.41,1018.92,0
57.84,45.94,29.32,28.51,61.37,75.64,78.00,63.91,59.30,1068.26,966.24,927.90,1
61.89,43.53,32.72,29.18,60.77,76.17,76.86,61.41,59.00,1074.49,970.90,960.74,1
62.06,45.41,33.55,28.51,64.36,78.87,81.13,67.01,63.20,1072.68,982.03,943.20,0
60.60,43.95,32.30,28.30,60.09,75.34,76.51,61.29,58.50,1067.33,973.59,954.42,1
61.16,47.03,32.33,28.83,68.71,81.82,83.78,70.83,64.60,1070.94,940.18,912.00,1
57.52,44.63,29.76,27.77,57.60,72.91,74.94,60.01,55.00,1076.27,954.93,916.58,1
60.65,43.37,36.84,23.81,58.83,73.97,75.49,59.73,58.30,1075.48,990.96,976.06,1
65.50,45.42,34.65,30.85,67.56,81.86,84.61,70.77,65.10,1070.34,963.65,919.94,0
62.75,46.94,32.63,30.12,70.34,83.30,85.21,72.39,67.90,1060.47,965.27,937.92,0
61.59,45.19,33.30,28.30,64.11,78.67,80.18,65.87,61.80,1074.50,963.92,938.23,0
60.87,44.28,33.69,27.18,61.05,76.09,77.51,62.49,58.00,1062.09,950.01,928.13,0
62.41,45.70,32.73,29.68,65.43,79.81,82.09,68.24,63.40,1074.25,968.94,929.09,0
59.13,44.55,33.19,25.94,58.63,73.86,76.40,61.45,56.70,1077.84,967.02,922.64,1
64.48,45.92,35.12,29.37,68.63,82.48,84.73,71.21,64.40,1074.77,938.34,904.39,1
63.10,45.00,36.18,26.91,65.38,79.83,81.34,66.91,62.20,1073.97,951.31,929.61,1
62.02,45.96,33.88,28.14,66.17,80.13,82.31,68.59,62.30,1073.84,941.47,908.25,1
60.72,44.41,33.88,26.84,61.08,75.92,77.65,62.70,56.60,1071.86,926.66,902.72,1
61.20,46.41,34.62,26.59,66.45,80.05,82.51,69.02,61.10,1077.35,919.47,885.27,1
57.73,46.42,31.37,26.37,59.81,75.32,78.98,65.15,57.40,1076.79,959.75,881.00,1
63.18,46.25,35.10,28.08,68.70,82.23,84.16,70.77,65.20,1075.53,949.07,921.29,1
59.48,43.93,34.40,25.09,59.32,74.32,75.46,60.10,59.00,1074.49,994.69,981.76,0
59.23,45.19,32.13,27.10,62.06,76.50,77.84,63.34,60.80,1072.06,979.72,959.85,1
58.75,45.78,31.58,27.17,62.62,76.92,78.61,64.48,59.40,1073.93,948.64,921.25,1
60.62,45.80,33.21,27.41,64.51,78.79,80.55,66.58,59.90,1079.06,928.57,899.67,1
57.31,45.25,29.68,27.64,59.51,74.34,76.04,61.45,56.20,1074.48,944.42,914.49,1
55.32,42.96,31.56,23.76,52.02,67.89,69.46,53.45,50.50,1076.90,970.75,944.72,1
60.93,45.13,35.85,25.07,63.63,77.87,79.50,64.98,64.00,1075.29,1005.74,984.98,1
58.44,44.39,31.62,26.82,57.44,72.62,75.36,60.31,58.00,1075.91,1009.80,961.76,1
57.79,44.71,29.90,27.89,59.11,73.94,75.37,60.49,56.50,1078.15,955.80,933.98,1
60.40,46.82,32.47,27.93,66.82,80.40,82.54,69.33,61.40,1075.04,918.93,885.68,1
57.04,43.24,28.66,28.39,53.65,70.06,71.57,55.83,52.00,1067.82,969.27,931.37,0
59.65,44.53,32.22,27.43,59.99,75.06,76.82,61.93,58.20,1081.63,970.20,939.81,1
59.66,45.38,30.34,29.33,61.52,75.85,78.64,64.34,60.70,1076.00,986.69,943.47,1
60.08,43.76,30.65,29.43,58.51,73.91,75.57,60.23,58.90,1074.63,1006.70,977.91,1
62.58,44.48,34.67,27.91,63.05,77.95,79.63,64.83,61.00,1077.49,967.53,940.90,1
57.00,44.96,30.38,26.62,56.73,72.80,75.13,60.34,55.30,1071.64,974.73,916.52,1
59.19,45.14,33.12,26.07,55.22,72.83,77.72,63.16,59.50,1073.80,1077.59,942.04,1
59.57,45.19,32.58,26.99,62.42,77.03,78.18,63.71,61.10,1079.25,978.90,959.04,1
58.72,44.68,32.87,25.85,58.94,73.86,76.26,61.36,57.90,1078.06,982.43,943.57,1
57.98,44.94,31.12,26.87,60.16,74.84,76.06,61.32,59.50,1073.80,988.99,970.25,0
59.60,44.53,33.44,26.16,60.74,75.59,76.81,61.88,59.50,1077.70,979.54,961.57,1
57.98,44.94,29.88,28.10,58.51,73.64,76.04,61.33,57.60,1072.48,984.46,939.26,1
53.90,40.04,30.97,22.93,40.93,59.80,62.41,45.25,60.20,1070.94,1470.79,1330.37,0
56.59,42.46,33.33,23.27,48.65,67.23,69.69,53.43,63.30,1078.04,1301.02,1184.73,1
57.06,44.67,31.41,25.65,52.83,69.19,74.60,59.61,70.80,1073.84,1340.03,1187.69,1
54.82,42.26,27.66,27.16,46.67,63.44,67.51,51.26,61.60,1078.54,1319.88,1201.65,1
56.22,42.18,28.35,27.87,49.46,65.94,68.64,52.36,59.20,1072.26,1196.90,1130.53,1
53.40,40.87,30.59,22.81,40.38,59.55,63.55,46.69,62.20,1077.70,1540.18,1332.06,1
60.41,40.87,30.83,29.59,47.02,67.10,69.83,52.83,61.90,1076.24,1316.33,1171.68,0
58.52,44.96,33.40,25.12,56.07,72.18,76.70,61.94,65.10,1075.66,1161.12,1050.97,1
56.22,41.41,32.12,24.10,46.62,63.64,67.18,50.48,55.70,1079.39,1194.89,1103.44,1
54.95,41.66,29.37,25.59,44.27,62.19,66.46,49.94,56.00,1074.77,1264.97,1121.37,0
55.57,41.49,32.42,23.15,43.14,63.66,66.77,50.08,54.40,1079.35,1260.93,1086.17,1
55.42,42.39,30.09,25.34,43.32,65.68,68.36,52.16,60.00,1078.92,1385.05,1150.37,0
57.90,42.37,31.58,26.32,49.88,67.21,70.63,54.42,63.30,1078.04,1268.93,1163.19,1
57.77,43.71,31.40,26.37,54.71,70.43,73.28,57.80,61.70,1080.29,1127.74,1067.44,1
58.40,43.62,29.33,29.08,54.00,70.05,73.66,58.18,63.40,1076.07,1173.99,1089.76,1
59.64,44.11,31.57,28.07,54.05,72.67,75.91,60.76,64.50,1078.24,1193.23,1061.61,0
56.70,43.41,29.60,27.10,48.49,66.77,71.61,55.95,58.70,1080.86,1210.50,1049.22,1
56.39,41.79,28.71,27.68,43.37,63.65,68.01,51.55,59.60,1073.66,1374.12,1156.07,1
57.02,40.95,30.63,26.39,40.32,63.47,66.93,50.06,61.60,1074.77,1527.95,1230.47,0
58.30,42.04,32.61,25.69,44.54,64.04,70.35,53.96,58.60,1079.02,1315.63,1086.06,1
62.72,43.91,35.87,26.85,55.13,74.85,78.55,63.31,68.80,1076.21,1248.07,1086.65,1
57.14,41.86,28.57,28.57,45.18,65.71,68.84,52.42,59.20,1074.21,1310.44,1129.44,1
59.43,42.31,33.21,26.22,49.48,69.08,71.97,55.71,60.10,1078.77,1214.53,1078.85,1
55.40,39.87,31.58,23.82,37.11,57.21,63.38,46.10,58.70,1076.89,1581.64,1273.25,0
56.24,41.18,30.37,25.87,34.53,57.11,66.67,49.93,64.50,1078.24,1868.01,1291.83,1
58.12,41.44,31.81,26.31,44.69,66.73,68.93,52.25,60.60,1078.05,1356.06,1159.85,1
58.87,42.90,30.67,28.20,54.87,71.04,72.61,56.72,66.20,1067.33,1206.59,1167.05,1
55.08,38.57,32.48,22.60,34.62,57.38,60.65,42.92,50.20,1075.10,1450.13,1169.72,1
63.14,41.01,32.97,30.18,49.21,71.56,72.65,55.61,68.70,1074.65,1396.05,1235.31,1
56.20,39.24,30.63,25.57,35.59,57.68,62.83,45.31,59.40,1075.88,1669.00,1310.93,1
60.19,43.64,34.37,25.82,58.00,73.43,75.52,60.03,56.60,1075.94,975.79,942.86,1
61.83,47.00,33.42,28.41,69.34,82.41,84.41,71.51,64.30,1073.10,927.35,899.21,1
62.00,44.19,35.15,26.85,61.32,76.37,78.46,63.40,58.70,1074.91,957.22,925.84,1
58.88,45.05,32.22,26.66,60.92,75.59,77.19,62.57,58.20,1075.62,955.40,930.15,1
58.46,45.63,33.02,25.44,62.62,76.90,78.05,63.73,57.70,1070.35,921.48,905.37,1
60.81,45.29,32.03,28.78,62.94,77.40,79.60,65.31,58.80,1061.16,934.18,900.35,0
58.98,43.93,31.38,27.60,57.09,72.46,74.88,59.59,53.30,1072.45,933.56,894.44,1
58.96,46.29,31.13,27.84,64.63,78.62,79.90,66.15,61.10,1067.91,945.35,923.72,1
62.40,44.23,34.64,27.77,62.15,77.09,78.91,63.93,61.30,1073.29,986.35,958.87,1
57.54,45.23,31.15,26.39,60.18,74.80,76.24,61.64,58.70,1070.98,975.33,952.30,1
60.98,46.57,33.18,27.80,66.43,80.27,82.60,69.25,61.70,1069.04,928.77,890.94,1
61.53,44.63,34.82,26.71,62.62,77.30,78.95,64.19,57.00,1065.28,910.30,888.03,0
57.77,43.71,31.40,26.37,55.85,71.51,73.28,57.80,53.60,1067.72,959.75,927.31,1
61.25,46.44,34.88,26.37,68.14,81.52,82.64,69.17,64.50,1062.23,946.57,932.49,1
58.36,45.03,30.20,28.16,60.03,74.90,76.59,61.95,59.50,1068.00,991.17,960.48,1
59.33,44.75,29.90,29.43,59.96,74.90,76.96,62.22,58.90,1068.77,982.36,946.59,1
56.99,44.19,32.88,24.10,56.66,71.91,73.59,58.27,53.40,1070.14,942.44,916.35,1
56.94,45.41,30.87,26.07,58.62,73.37,76.02,61.47,53.30,1070.29,909.21,867.02,0
61.98,47.19,33.38,28.60,70.30,83.24,85.00,72.27,65.60,1071.50,933.16,907.66,1
61.67,43.56,32.99,28.68,59.87,75.33,76.70,61.26,57.30,1072.90,957.10,935.36,0
54.89,43.77,31.38,23.52,53.91,69.57,70.70,55.07,53.70,1071.85,996.17,975.15,1
58.91,45.38,32.09,26.82,61.75,75.94,77.92,63.53,60.30,1059.50,976.59,949.20,0
58.37,44.35,33.32,25.05,59.30,73.42,75.25,60.12,56.30,1070.24,949.40,936.54,1
57.63,45.33,31.94,25.69,60.21,74.90,76.55,62.00,56.20,1072.42,933.46,906.50,1
61.22,44.41,32.88,28.34,61.08,75.96,78.10,63.22,59.00,1070.58,966.00,933.30,1
61.88,43.34,34.32,27.56,59.69,74.49,76.47,60.86,57.40,1068.75,961.57,943.17,1
61.31,45.48,33.92,27.39,65.50,79.57,80.55,66.40,62.60,1060.69,955.66,942.79,1
57.97,43.56,30.88,27.09,55.65,71.04,73.15,57.60,54.20,1071.12,973.88,940.96,1
62.44,45.76,34.60,27.84,67.84,81.74,82.30,68.44,65.20,1068.47,961.08,952.61,0
59.25,46.96,33.15,26.10,66.36,79.83,81.71,68.41,63.60,1072.18,958.36,929.65,1
60.45,46.16,33.85,26.60,64.24,78.52,81.19,67.44,62.70,1066.01,975.97,929.69,1
59.52,44.21,32.38,27.14,59.15,74.28,76.03,60.92,55.50,1067.23,938.35,911.03,1
63.08,44.94,32.83,30.25,65.68,80.12,81.10,66.72,62.50,1064.42,951.63,936.69,1
59.52,44.96,31.15,28.37,60.69,75.31,77.60,63.00,58.40,1067.46,962.27,926.98,1
59.04,43.46,31.67,27.37,56.88,72.53,73.97,58.40,53.40,1068.00,938.78,914.40,1
57.50,46.46,29.12,28.39,61.34,75.68,78.78,64.99,56.40,1064.03,919.48,867.83,1
58.83,44.75,30.67,28.16,59.31,74.42,76.48,61.70,55.20,1069.70,930.71,894.66,0
60.52,43.69,34.40,26.12,59.01,74.37,75.94,60.50,56.30,1068.20,954.02,930.64,0
58.45,42.41,31.87,26.59,54.28,70.22,71.23,55.05,54.10,1071.27,996.70,982.79,1
58.77,46.21,32.40,26.37,63.67,77.64,79.58,65.71,62.90,1067.59,987.95,957.25,1
58.99,44.39,32.24,26.74,59.64,74.69,75.88,60.85,55.90,1068.74,937.26,918.68,0
59.65,46.82,31.97,27.68,66.79,80.22,81.77,68.47,60.20,1067.13,901.29,879.25,1
60.18,45.33,32.99,27.18,59.88,76.78,79.07,64.73,57.80,1068.23,965.27,892.94,1
62.25,44.94,33.88,28.37,63.54,78.07,80.30,65.83,60.40,1070.68,950.54,917.46,1
60.40,46.32,32.44,27.96,64.52,78.59,81.45,67.86,64.40,1069.40,998.21,949.02,1
57.41,42.56,30.70,26.71,52.04,68.27,70.55,54.45,52.40,1071.62,1006.83,962.35,0
57.80,45.19,30.32,27.49,60.13,74.89,76.40,61.82,57.50,1056.81,956.33,930.17,0
61.04,48.25,34.65,26.39,71.10,83.63,86.45,74.39,63.80,1070.12,897.33,857.60,1
60.25,46.46,34.15,26.10,67.05,80.49,81.66,68.09,62.20,1061.12,927.71,913.44,1
57.50,42.94,30.65,26.85,53.10,70.02,71.42,55.53,50.80,1043.18,956.66,914.83,0
60.90,45.30,31.72,29.18,64.12,78.53,79.70,65.43,63.20,1069.04,985.68,965.87,1
58.90,46.57,33.21,25.69,63.56,77.64,80.52,66.89,61.70,1070.90,970.67,922.37,0
59.29,43.71,31.90,27.39,58.76,74.04,74.74,59.32,55.30,1077.92,941.14,932.23,1
58.98,45.94,31.62,27.37,62.91,77.12,79.19,65.19,57.10,1049.46,907.70,875.96,0
65.70,45.51,34.39,31.31,69.00,82.90,84.99,71.24,65.90,1062.49,955.05,925.07,1
63.82,46.00,34.44,29.39,69.02,82.61,84.22,70.72,64.70,1072.60,937.42,914.93,0
61.01,45.88,33.55,27.46,62.95,77.49,81.11,67.23,60.10,1067.26,954.73,893.91,0
61.52,45.71,32.40,29.12,65.80,79.84,81.23,67.30,62.80,1069.53,954.37,933.10,1
62.08,43.73,36.18,25.89,62.17,77.15,77.58,62.17,59.80,1071.46,961.88,961.92,1
57.94,45.91,30.35,27.59,60.78,76.04,78.05,63.94,59.40,1070.06,977.31,929.03,1
55.51,42.94,28.64,26.87,51.25,67.36,69.52,53.60,54.40,1085.82,1061.51,1014.95,0
56.52,43.71,30.63,25.89,55.00,70.43,72.09,56.55,55.10,1082.48,1001.75,974.28,0
61.31,46.75,32.90,28.41,68.07,81.47,83.32,70.16,66.80,1082.25,981.31,952.16,1
61.79,45.46,35.92,25.87,64.37,78.64,81.06,66.86,61.70,1078.40,958.49,922.83,1
60.04,45.98,33.15,26.89,64.36,78.43,80.36,66.46,59.30,1083.91,921.39,892.25,1
58.69,47.91,29.84,28.85,64.38,78.49,83.14,70.53,61.40,1082.64,953.66,870.53,1
55.76,44.21,30.38,25.37,55.56,70.96,72.38,57.07,54.30,1083.83,977.31,951.53,1
60.10,44.53,34.94,25.17,60.97,75.89,77.36,62.40,60.10,1082.67,985.75,963.19,1
60.75,45.19,33.13,27.62,62.49,77.08,79.35,64.96,63.40,1081.59,1014.63,975.92,1
62.93,45.63,34.85,28.07,66.24,80.19,82.51,68.61,64.70,1081.58,976.70,943.07,1
61.53,47.18,31.25,30.28,68.29,81.39,84.48,71.72,63.00,1082.17,922.48,878.43,0
59.76,44.88,34.54,25.22,62.45,76.82,77.77,63.04,57.00,1083.54,912.68,904.25,1
57.14,44.53,30.20,26.94,57.55,72.71,74.35,59.32,55.40,1079.87,962.60,934.00,1
56.65,42.87,32.59,24.06,53.44,69.08,70.53,54.51,54.70,1085.30,1023.60,1003.52,0
55.74,43.19,28.62,27.12,53.32,69.07,70.25,54.45,55.30,1090.70,1037.09,1015.61,1
55.66,43.63,27.84,27.82,54.32,69.65,71.06,55.48,54.80,1082.98,1008.93,987.75,1
56.54,43.98,31.92,24.62,56.16,71.38,72.70,57.28,63.60,1085.01,1132.44,1110.42,0
56.32,46.27,30.15,26.16,60.49,74.91,77.21,63.14,54.60,1081.17,902.63,864.76,1
57.46,43.61,32.02,25.44,56.35,71.88,72.80,57.23,59.50,1085.58,1055.83,1039.75,0
57.62,44.48,31.87,25.75,58.36,73.23,74.76,59.70,58.00,1083.97,993.88,971.60,0
59.54,44.23,30.63,28.91,59.40,74.57,76.06,61.00,60.00,1075.04,1010.04,983.67,0
58.54,43.60,33.68,24.87,57.05,72.50,73.85,58.27,56.80,1083.87,995.53,974.76,1
60.77,46.27,33.02,27.75,67.50,80.82,81.73,68.13,63.40,1083.45,939.25,930.52,0
62.09,45.58,33.93,28.16,67.05,80.94,81.54,67.54,61.40,1082.64,915.70,909.15,0
58.41,43.63,29.59,28.83,56.01,71.37,73.70,58.22,55.60,1079.55,992.76,954.96,1
61.44,45.39,34.87,26.57,64.05,78.23,80.52,66.29,63.10,1089.51,985.14,951.87,1
58.04,41.72,33.40,24.64,51.78,68.25,69.48,52.89,51.60,1086.43,996.60,975.61,0
61.96,44.22,31.74,30.22,62.12,77.31,78.39,63.42,50.60,1086.00,814.51,797.82,0
58.66,43.81,30.95,27.71,57.39,72.83,74.31,58.93,61.20,1081.02,1066.37,1038.45,0
63.04,47.10,33.40,29.64,70.34,83.46,85.89,73.23,66.20,1083.08,941.10,904.00,1
59.43,47.34,33.24,26.19,65.11,80.02,82.74,69.75,62.10,1077.84,953.77,890.36,0
62.12,46.47,33.08,29.04,67.69,81.32,83.52,70.23,63.40,1079.75,936.64,902.74,1
