@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
57.485,43.944,29.385,28.101,40.088,69.298,73.459,58.124,1.729,56.200,Nascido
55.591,44.029,28.680,26.911,38.708,66.527,71.812,56.427,1.719,57.700,Nascido
60.923,45.798,30.724,30.200,47.979,75.892,80.806,66.908,1.582,58.100,Nascido
62.144,45.276,33.713,28.431,46.089,74.197,80.919,66.700,1.610,59.800,Nascido
60.807,42.715,31.901,28.907,36.525,65.135,74.069,58.092,1.783,53.500,Nascido
58.291,45.481,31.673,26.620,44.897,74.611,77.518,63.134,1.662,57.400,Nascido
60.914,44.619,31.577,29.337,47.445,71.219,78.239,63.498,1.501,56.700,Nascido
60.632,45.226,30.812,29.820,47.218,75.405,79.267,64.934,1.597,57.400,Nascido
58.905,44.578,30.226,28.680,43.124,72.666,76.174,61.292,1.685,54.700,Nascido
60.126,44.278,30.698,29.428,43.043,73.838,76.729,61.723,1.715,57.400,Nascido
55.411,41.130,28.337,27.074,36.579,65.883,65.806,49.081,1.801,48.900,Nascido
58.734,44.693,31.633,27.102,42.999,74.561,76.272,61.428,1.734,59.900,Nascido
59.574,45.193,29.820,29.756,43.204,73.443,78.145,63.711,1.700,57.400,Nascido
58.489,48.395,31.249,27.240,47.561,80.769,84.024,71.724,1.698,62.600,Nascido
57.903,44.764,29.359,28.545,39.848,71.164,75.581,60.751,1.786,54.800,Nascido
59.040,45.231,30.653,28.387,40.259,70.966,77.701,63.244,1.763,58.600,Nascido
63.640,45.300,32.218,31.423,46.715,77.816,82.443,68.380,1.666,65.400,Nascido
57.360,43.531,31.446,25.914,40.196,69.787,72.517,56.911,1.736,55.300,Nascido
53.925,44.108,27.240,26.687,35.634,65.346,70.371,54.934,1.834,50.500,Morreu
59.235,46.405,29.756,29.479,47.052,80.684,80.419,66.789,1.715,59.700,Nascido
59.218,45.425,31.883,27.337,46.023,74.320,78.315,63.981,1.615,58.500,Nascido
60.579,45.752,30.675,29.905,44.032,74.950,80.358,66.395,1.702,62.300,Nascido
57.188,44.357,30.005,27.185,38.598,69.241,74.041,58.917,1.794,58.400,Nascido
57.985,42.427,30.367,27.619,36.501,66.705,70.803,54.651,1.828,53.400,Nascido
59.332,44.255,31.446,27.887,39.006,68.958,75.918,60.845,1.768,56.900,Nascido
56.313,44.168,28.545,27.768,41.355,69.627,72.789,57.520,1.684,53.000,Nascido
58.682,46.348,29.977,28.705,46.941,74.481,79.737,66.003,1.587,57.600,Nascido
60.701,44.855,33.489,27.211,45.343,75.637,78.579,63.945,1.668,57.600,Nascido
56.736,42.677,30.134,26.602,36.790,65.548,70.149,54.105,1.782,50.400,Nascido
