@relation DeathDataBin

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute Dens_Arquimedes numeric
@attribute class {Media,Outros}

@data
56.99,42.18,30.13,26.85,37.41,65.56,69.36,53.08,1.75,52.30,1043.91,Outros
57.81,43.76,30.92,26.89,37.37,66.60,73.40,57.96,1.78,55.30,1069.56,Outros
60.32,43.17,31.28,29.04,39.00,67.18,74.57,58.87,1.72,55.30,1069.56,Outros
58.36,43.53,30.70,27.66,35.82,66.19,73.45,57.90,1.85,56.30,1068.20,Outros
54.47,45.19,27.62,26.85,57.07,71.86,73.11,58.25,1.26,58.60,1069.16,Outros
59.98,44.36,30.47,29.51,60.35,75.42,76.76,61.79,1.25,57.40,1060.84,Outros
60.70,45.35,32.74,27.96,64.48,78.73,79.64,65.37,1.22,60.00,1057.95,Outros
64.39,45.23,33.33,31.06,66.00,80.56,83.03,68.96,1.22,63.10,1054.84,Outros
56.86,42.83,28.80,28.06,53.82,68.45,70.57,54.62,1.27,52.80,1053.89,Outros
61.48,45.17,31.13,30.35,63.77,78.33,80.01,65.70,1.23,60.00,1059.82,Outros
59.25,44.44,29.87,29.39,58.78,73.94,76.22,61.28,1.26,59.90,1077.12,Outros
57.22,43.36,29.98,27.24,54.52,70.36,72.00,56.33,1.29,54.20,1081.83,Outros
56.39,43.31,30.95,25.44,52.94,68.85,71.13,55.37,1.30,52.30,1071.77,Outros
62.83,43.03,31.54,31.29,59.79,75.58,76.65,60.90,1.26,55.10,1069.84,Outros
59.19,45.33,30.26,28.93,61.79,76.25,78.06,63.69,1.23,57.70,1074.34,Outros
58.38,42.28,30.45,27.93,53.09,69.53,70.88,54.66,1.31,53.80,1073.85,Outros
60.79,43.64,33.30,27.49,57.49,73.29,76.04,60.61,1.27,56.10,1072.56,Outros
55.12,41.79,29.95,25.17,48.00,64.65,66.87,50.39,1.35,50.20,1052.51,Outros
58.93,43.38,30.31,28.62,55.31,71.26,73.66,58.06,1.29,54.60,1083.32,Outros
58.75,43.62,29.77,28.98,56.66,72.32,74.00,58.53,1.28,56.00,1083.10,Outros
59.54,44.73,30.13,29.41,59.97,74.96,77.12,62.38,1.25,58.30,1067.59,Outros
60.56,45.37,30.42,30.14,63.19,77.55,79.51,65.27,1.23,60.00,1069.29,Outros
57.97,42.66,29.87,28.10,54.45,70.27,71.26,55.24,1.29,54.70,1087.46,Outros
61.81,45.23,31.90,29.90,63.68,78.27,80.45,66.21,1.23,62.80,1075.03,Outros
60.60,45.03,33.46,27.14,61.96,76.74,78.85,64.33,1.24,57.40,1060.84,Media
55.55,43.73,28.39,27.16,53.92,69.50,71.16,55.63,1.29,54.00,1077.84,Outros
62.33,43.73,34.42,27.91,60.60,75.96,77.75,62.42,1.25,57.40,1066.76,Outros
62.37,44.28,31.94,30.43,62.31,77.27,78.93,64.03,1.24,60.00,1073.12,Outros
56.99,45.19,28.62,28.37,58.06,73.02,75.58,60.94,1.26,58.00,1073.91,Outros
57.86,42.53,31.45,26.41,52.60,68.87,70.93,54.81,1.31,52.70,1073.36,Outros
56.97,45.17,29.37,27.60,46.75,71.19,75.53,60.87,1.52,56.70,1071.72,Outros
61.31,45.73,32.92,28.39,48.10,76.34,81.07,67.13,1.59,63.90,1071.80,Outros
60.44,45.74,30.75,29.68,48.09,78.41,80.19,66.20,1.63,59.00,1082.39,Outros
59.18,43.66,30.30,28.88,44.56,72.21,74.50,59.07,1.62,56.80,1061.54,Outros
57.98,45.44,29.87,28.12,44.18,74.88,77.10,62.69,1.69,59.90,1079.06,Outros
58.02,44.71,30.38,27.64,42.60,69.78,75.60,60.73,1.64,58.90,1084.54,Outros
60.60,42.51,30.70,29.90,41.13,66.24,73.43,57.34,1.61,54.70,1091.81,Outros
56.14,44.58,28.43,27.71,38.33,68.12,73.47,58.41,1.78,51.00,1062.59,Outros
57.55,42.61,29.40,28.16,40.69,67.70,70.77,54.71,1.66,50.00,1070.82,Outros
59.74,43.07,30.60,29.15,39.45,65.98,73.79,58.02,1.67,54.30,1077.36,Outros
53.87,43.56,27.93,25.94,38.72,64.23,69.21,53.51,1.66,48.40,1075.80,Outros
57.84,42.76,29.41,28.43,38.52,67.62,71.34,55.37,1.76,51.10,1071.38,Outros
62.56,45.41,33.02,29.54,49.59,84.44,81.61,67.54,1.70,62.50,1075.43,Outros
54.16,40.63,29.34,24.82,33.13,61.18,63.72,46.81,1.85,44.90,1069.46,Outros
57.91,43.56,31.22,26.69,42.17,71.84,73.08,57.52,1.70,55.30,1071.64,Outros
57.79,42.47,30.65,27.14,37.52,64.16,70.71,54.57,1.71,51.80,1079.26,Outros
55.47,41.16,28.12,27.35,35.87,61.03,65.92,49.21,1.70,48.50,1082.84,Outros
59.25,43.93,31.65,27.60,44.87,72.30,75.15,59.86,1.61,57.60,1072.48,Outros
55.42,43.08,28.95,26.46,52.36,68.29,69.73,53.86,1.30,53.90,1082.34,Outros
59.21,43.77,31.34,27.87,58.00,73.53,74.78,59.41,1.27,56.30,1072.28,Outros
61.10,43.17,32.55,28.55,58.03,73.84,75.33,59.63,1.27,55.20,1059.42,Outros
56.74,43.69,29.87,26.87,53.99,69.47,72.23,56.72,1.29,54.40,1058.31,Outros
58.36,43.53,30.92,27.43,56.13,71.85,73.45,57.90,1.28,54.70,1087.46,Outros
61.55,43.85,33.43,28.12,59.20,74.71,77.22,61.96,1.26,57.90,1068.10,Outros
58.38,45.20,29.28,29.10,57.34,73.55,76.97,62.45,1.28,57.40,1066.76,Outros
60.18,46.64,30.85,29.33,67.24,80.49,81.90,68.55,1.20,61.10,1075.45,Outros
54.45,42.37,29.48,24.97,48.37,64.86,67.40,51.18,1.34,47.10,1068.31,Outros
57.28,45.19,29.79,27.49,60.27,75.04,75.87,61.25,1.25,57.10,1075.20,Outros
60.22,42.29,30.99,29.23,54.87,71.31,72.61,56.39,1.30,53.10,1059.88,Outros
59.25,45.19,31.90,27.35,61.97,76.51,77.85,63.36,1.23,61.90,1076.24,Outros
60.27,42.98,31.54,28.74,57.94,73.63,74.12,58.30,1.27,55.30,1065.43,Outros
55.97,43.64,29.26,26.71,54.19,69.63,71.39,55.81,1.28,53.00,1062.13,Outros
60.27,43.52,31.78,28.49,56.77,72.48,75.26,59.77,1.28,54.50,1058.19,Outros
58.96,43.08,29.98,28.98,54.63,70.65,73.08,57.30,1.29,51.60,1077.34,Outros
58.75,43.94,29.63,29.12,57.58,72.91,74.68,59.40,1.27,53.00,1057.88,Outros
56.24,44.69,30.63,25.60,57.01,71.99,73.84,58.82,1.26,54.40,1081.50,Outros
60.70,45.54,32.09,28.62,63.74,78.23,80.04,65.92,1.23,59.60,1075.60,Outros
61.31,44.59,31.70,29.61,61.63,76.57,78.56,63.82,1.24,61.10,1073.55,Outros
60.40,43.31,34.24,26.16,57.89,73.57,75.00,59.31,1.27,57.60,1068.49,Outros
63.05,43.96,33.17,29.88,62.80,77.94,78.92,63.81,1.24,59.90,1084.94,Outros
55.09,42.26,27.93,27.16,50.81,66.99,67.76,51.52,1.32,51.10,1066.90,Outros
58.75,45.21,30.12,28.64,61.34,75.88,77.37,62.88,1.24,60.00,1063.59,Outros
60.23,44.36,30.47,29.76,59.65,74.90,77.00,62.05,1.26,58.00,1077.91,Outros
59.52,44.71,33.92,25.60,61.13,75.86,77.15,62.30,1.24,60.50,1068.65,Outros
57.00,44.96,29.39,27.62,58.32,73.28,75.12,60.34,1.26,56.20,1074.48,Outros
58.83,43.76,33.71,25.12,57.31,72.79,74.46,58.98,1.27,56.50,1072.00,Outros
58.58,44.91,31.95,26.64,59.28,74.00,76.60,61.88,1.25,58.40,1071.38,Outros
59.82,44.20,33.30,26.53,59.25,74.50,76.32,61.19,1.26,56.60,1073.89,Outros
60.67,44.33,34.49,26.19,61.56,76.48,77.45,62.43,1.24,58.80,1065.02,Outros
59.08,46.72,30.78,28.30,65.97,79.63,80.94,67.51,1.21,61.40,1062.00,Outros
59.61,44.48,32.05,27.55,60.35,75.24,76.68,61.75,1.25,57.00,1071.30,Outros
58.09,45.16,32.44,25.65,60.21,75.05,76.67,62.04,1.25,54.90,1074.32,Outros
61.10,43.42,31.03,30.07,59.00,74.63,75.84,60.32,1.26,58.10,1073.77,Outros
57.69,41.64,31.35,26.34,51.07,67.48,68.95,52.38,1.32,47.60,1044.06,Outros
61.67,44.05,34.98,26.69,61.52,76.62,77.83,62.67,1.25,57.90,1060.26,Outros
59.88,46.80,33.44,26.44,66.17,79.77,81.99,68.65,1.21,60.60,1074.22,Outros
57.38,44.55,32.19,25.19,58.75,73.73,74.70,59.64,1.25,59.00,1068.64,Outros
62.54,45.33,32.65,29.89,64.25,78.75,81.42,67.29,1.23,63.30,1070.74,Outros
62.06,45.41,33.55,28.51,64.36,78.87,81.13,67.01,1.23,63.20,1072.68,Media
61.59,45.19,33.30,28.30,64.11,78.67,80.18,65.87,1.23,61.80,1074.50,Outros
62.41,45.70,32.73,29.68,65.43,79.81,82.09,68.24,1.22,63.40,1074.25,Media
59.48,43.93,34.40,25.09,59.32,74.32,75.46,60.10,1.25,59.00,1074.49,Outros
57.04,43.24,28.66,28.39,53.65,70.06,71.57,55.83,1.31,52.00,1067.82,Outros
53.90,40.04,30.97,22.93,40.93,59.80,62.41,45.25,1.46,60.20,1070.94,Media
60.41,40.87,30.83,29.59,47.02,67.10,69.83,52.83,1.43,61.90,1076.24,Outros
54.95,41.66,29.37,25.59,44.27,62.19,66.46,49.94,1.40,56.00,1074.77,Media
55.42,42.39,30.09,25.34,43.32,65.68,68.36,52.16,1.52,60.00,1078.92,Outros
59.64,44.11,31.57,28.07,54.05,72.67,75.91,60.76,1.34,64.50,1078.24,Outros
57.02,40.95,30.63,26.39,40.32,63.47,66.93,50.06,1.57,61.60,1074.77,Outros
60.81,45.29,32.03,28.78,62.94,77.40,79.60,65.31,1.23,58.80,1061.16,Outros
61.53,44.63,34.82,26.71,62.62,77.30,78.95,64.19,1.23,57.00,1065.28,Outros
56.94,45.41,30.87,26.07,58.62,73.37,76.02,61.47,1.25,53.30,1070.29,Outros
61.67,43.56,32.99,28.68,59.87,75.33,76.70,61.26,1.26,57.30,1072.90,Outros
58.91,45.38,32.09,26.82,61.75,75.94,77.92,63.53,1.23,60.30,1059.50,Outros
62.44,45.76,34.60,27.84,67.84,81.74,82.30,68.44,1.20,65.20,1068.47,Outros
58.83,44.75,30.67,28.16,59.31,74.42,76.48,61.70,1.25,55.20,1069.70,Outros
60.52,43.69,34.40,26.12,59.01,74.37,75.94,60.50,1.26,56.30,1068.20,Outros
58.99,44.39,32.24,26.74,59.64,74.69,75.88,60.85,1.25,55.90,1068.74,Outros
57.41,42.56,30.70,26.71,52.04,68.27,70.55,54.45,1.31,52.40,1071.62,Outros
57.80,45.19,30.32,27.49,60.13,74.89,76.40,61.82,1.25,57.50,1056.81,Outros
57.50,42.94,30.65,26.85,53.10,70.02,71.42,55.53,1.32,50.80,1043.18,Outros
58.90,46.57,33.21,25.69,63.56,77.64,80.52,66.89,1.22,61.70,1070.90,Outros
58.98,45.94,31.62,27.37,62.91,77.12,79.19,65.19,1.23,57.10,1049.46,Outros
63.82,46.00,34.44,29.39,69.02,82.61,84.22,70.72,1.20,64.70,1072.60,Outros
61.01,45.88,33.55,27.46,62.95,77.49,81.11,67.23,1.23,60.10,1067.26,Outros
56.52,43.71,30.63,25.89,55.00,70.43,72.09,56.55,1.28,55.10,1082.48,Outros
61.53,47.18,31.25,30.28,68.29,81.39,84.48,71.72,1.19,63.00,1082.17,Outros
57.62,44.48,31.87,25.75,58.36,73.23,74.76,59.70,1.25,58.00,1083.97,Outros
59.54,44.23,30.63,28.91,59.40,74.57,76.06,61.00,1.26,60.00,1075.04,Outros
60.77,46.27,33.02,27.75,67.50,80.82,81.73,68.13,1.20,63.40,1083.45,Outros
62.09,45.58,33.93,28.16,67.05,80.94,81.54,67.54,1.21,61.40,1082.64,Outros
58.66,43.81,30.95,27.71,57.39,72.83,74.31,58.93,1.27,61.20,1081.02,Outros
59.43,47.34,33.24,26.19,65.11,80.02,82.74,69.75,1.23,62.10,1077.84,Outros
55.39,43.83,30.95,24.45,53.16,68.93,71.27,55.72,1.30,48.80,1075.11,Outros
63.47,46.16,33.88,29.59,69.40,82.84,84.21,70.81,1.19,65.80,1076.53,Outros
60.15,45.33,33.24,26.91,62.86,77.38,79.05,64.70,1.23,57.40,1078.82,Outros
56.94,44.16,28.60,28.34,50.41,68.04,73.37,58.14,1.35,55.70,1077.30,Outros
56.16,44.13,30.08,26.09,54.57,69.91,72.59,57.27,1.28,53.20,1076.95,Outros
61.23,44.85,35.54,25.69,60.67,77.67,79.17,64.50,1.28,61.00,1079.40,Outros
58.22,44.66,31.12,27.10,58.34,73.45,75.69,60.80,1.26,56.30,1078.45,Outros
59.75,43.69,32.13,27.62,56.38,72.31,75.14,59.73,1.28,57.40,1082.90,Outros
62.34,44.94,33.82,28.51,64.45,79.03,80.39,65.93,1.23,58.10,1060.03,Outros
58.39,45.36,30.83,27.56,61.08,75.18,77.34,62.90,1.23,60.20,1072.85,Outros
61.65,47.07,32.44,29.20,69.27,82.50,84.36,71.51,1.19,64.20,1059.03,Outros
57.49,46.44,30.88,26.60,62.86,76.84,78.75,64.92,1.22,59.90,1065.60,Outros
63.26,44.64,35.70,27.55,63.73,78.28,80.67,66.01,1.23,61.30,1062.11,Outros
62.94,48.62,31.75,31.20,69.65,83.94,89.21,77.89,1.21,71.70,1069.61,Outros
62.80,46.19,34.29,28.51,60.39,78.29,83.61,70.15,1.30,63.50,1068.68,Outros
61.79,45.73,34.17,27.62,65.16,79.36,81.58,67.65,1.22,60.30,1068.91,Outros
60.20,47.12,33.52,26.69,68.22,81.44,83.04,70.00,1.19,60.20,1070.94,Outros
58.04,44.98,31.67,26.37,59.62,74.50,76.21,61.49,1.25,57.00,1077.39,Outros
58.47,46.94,32.88,25.59,66.93,80.10,80.88,67.46,1.20,57.40,1068.75,Outros
61.35,45.03,32.94,28.41,64.03,78.46,79.57,65.12,1.23,61.90,1072.50,Media
59.48,42.18,34.65,24.84,55.19,71.12,71.79,55.41,1.29,52.30,1060.88,Outros
60.48,44.43,31.12,29.37,60.73,75.72,77.40,62.50,1.25,57.50,1074.63,Outros
59.67,44.63,32.85,26.82,60.85,75.45,77.08,62.24,1.24,56.00,1064.53,Outros
