@relation DeathDataBin

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute Dens_Arquimedes numeric
@attribute class {Media,Outros}

@data
56.36,43.80,28.46,27.91,54.53,70.10,72.09,56.63,1.29,54.10,1079.84,Outros
57.84,46.44,29.72,28.12,61.72,76.18,79.08,65.31,1.23,60.10,1078.77,Outros
61.84,47.99,31.53,30.32,71.98,84.78,86.62,74.57,1.18,64.70,1076.18,Outros
59.84,43.68,34.88,24.96,57.71,73.37,75.28,59.77,1.27,56.30,1072.28,Outros
59.69,47.01,30.96,28.74,66.60,80.24,82.23,69.09,1.20,58.00,1079.93,Outros
56.52,44.98,28.91,27.62,57.54,72.53,74.69,59.88,1.26,53.60,1074.15,Outros
61.18,47.14,30.85,30.33,68.07,81.10,84.03,71.20,1.19,59.70,1081.32,Outros
61.15,48.31,31.94,29.20,72.24,84.52,86.63,74.74,1.17,66.40,1081.03,Outros
58.26,45.29,30.51,27.75,61.16,75.74,77.05,62.57,1.24,54.50,1087.82,Outros
60.43,44.83,30.45,29.98,62.51,77.12,78.20,63.58,1.23,58.30,1071.52,Outros
62.06,43.46,31.92,30.13,59.59,75.19,76.86,61.38,1.26,56.30,1086.80,Outros
57.92,45.64,29.84,28.09,60.56,75.14,77.47,63.19,1.24,57.90,1080.08,Outros
61.52,44.19,31.90,29.62,61.58,76.49,77.91,62.91,1.24,60.10,1086.59,Outros
58.75,42.94,30.12,28.64,55.39,71.22,72.59,56.73,1.29,55.90,1070.79,Outros
58.46,43.61,30.97,27.49,56.57,72.19,73.72,58.22,1.28,55.70,1069.01,Outros
57.31,42.68,29.79,27.52,52.96,69.13,70.68,54.65,1.31,51.20,1066.76,Outros
63.57,46.11,34.21,29.36,66.66,80.91,84.21,70.78,1.21,60.10,1061.59,Outros
60.20,47.67,32.60,27.60,69.68,82.41,84.23,71.64,1.18,62.80,1075.03,Outros
58.16,44.83,29.95,28.21,58.98,73.98,75.97,61.19,1.25,58.00,1069.94,Outros
59.39,45.51,32.09,27.30,62.52,76.80,78.67,64.40,1.23,57.20,1075.06,Outros
59.39,43.61,31.08,28.31,57.65,72.78,74.60,59.14,1.26,54.90,1087.11,Outros
56.89,45.08,28.71,28.18,58.26,73.24,75.24,60.52,1.26,53.60,1072.00,Outros
60.77,45.21,32.15,28.62,63.91,78.16,79.39,65.04,1.22,60.00,1090.71,Outros
56.86,43.78,28.93,27.93,55.79,71.23,72.52,57.06,1.28,49.80,1080.44,Outros
59.40,45.80,30.70,28.71,61.73,76.27,79.28,65.24,1.24,57.90,1072.06,Outros
55.82,41.68,28.26,27.55,49.71,66.03,67.28,50.78,1.33,47.80,1079.29,Outros
58.31,43.48,29.41,28.91,55.40,71.22,73.29,57.73,1.29,56.30,1078.45,Outros
57.22,43.68,30.10,27.12,56.27,71.56,72.66,57.15,1.27,58.10,1079.77,Outros
58.63,44.05,31.45,27.18,58.42,73.75,74.82,59.58,1.26,58.60,1075.05,Outros
55.84,44.50,31.17,24.67,54.65,70.13,73.09,57.91,1.28,53.70,1071.85,Outros
59.58,46.27,32.67,26.91,64.82,78.80,80.53,66.80,1.22,58.40,1077.32,Outros
61.69,46.29,35.38,26.31,65.99,80.03,82.76,69.21,1.21,61.90,1072.50,Outros
61.97,46.87,31.47,30.50,69.90,82.99,84.25,71.29,1.19,63.50,1074.12,Outros
57.47,42.41,31.13,26.34,53.19,69.30,70.30,54.12,1.30,52.50,1069.29,Outros
60.58,45.50,31.42,29.16,64.40,78.58,79.82,65.67,1.22,61.10,1077.35,Outros
59.11,45.23,31.56,27.55,60.97,75.71,77.77,63.30,1.24,58.40,1077.32,Outros
62.69,47.64,31.59,31.10,72.58,84.77,86.73,74.51,1.17,67.70,1069.06,Outros
62.27,47.46,32.63,29.63,70.69,83.56,85.88,73.43,1.18,61.80,1070.77,Outros
61.29,44.96,32.15,29.14,63.96,78.28,79.35,64.87,1.22,62.40,1068.19,Outros
59.47,42.41,31.87,27.60,54.53,70.67,72.17,56.00,1.30,54.00,1077.84,Outros
58.66,46.60,30.72,27.93,66.19,79.66,80.26,66.68,1.20,60.40,1065.00,Outros
58.02,43.92,29.23,28.79,56.83,72.27,73.92,58.60,1.27,55.50,1071.35,Outros
60.65,48.09,32.22,28.43,70.91,83.49,85.61,73.44,1.18,63.30,1070.74,Outros
60.79,45.13,31.31,29.48,62.59,77.27,79.22,64.83,1.23,57.70,1076.35,Outros
62.19,45.14,31.10,31.09,63.88,78.29,80.64,66.36,1.23,64.30,1069.52,Outros
59.60,48.04,34.69,24.92,68.32,81.33,84.53,72.03,1.19,61.50,1071.15,Outros
58.27,43.46,30.40,27.87,55.83,71.24,73.22,57.64,1.28,53.50,1067.86,Outros
58.95,44.66,29.60,29.35,59.80,74.60,76.39,61.56,1.25,57.70,1078.36,Outros
56.86,43.53,32.19,24.67,51.08,68.13,72.08,56.42,1.33,52.80,1082.02,Outros
58.90,42.87,29.84,29.07,55.90,71.47,72.57,56.68,1.28,52.40,1082.72,Outros
62.73,43.93,32.62,30.12,61.49,76.74,78.52,63.38,1.25,60.10,1082.67,Outros
59.88,46.05,32.19,27.68,64.00,78.31,80.32,66.48,1.22,60.10,1071.07,Outros
60.57,46.72,33.08,27.49,66.46,80.28,82.50,69.21,1.21,63.80,1070.12,Outros
61.27,43.44,30.88,30.38,59.39,74.84,76.05,60.55,1.26,57.90,1072.06,Outros
56.02,43.98,28.41,27.62,54.81,70.31,72.13,56.75,1.28,54.90,1070.12,Outros
59.79,45.23,30.65,29.14,62.32,76.88,78.44,64.05,1.23,60.10,1076.84,Outros
58.90,44.62,32.59,26.31,59.24,73.97,76.30,61.40,1.25,57.90,1078.06,Outros
60.10,45.47,34.32,25.78,60.76,79.05,79.37,65.08,1.30,50.80,1097.19,Outros
60.98,45.67,33.62,27.37,65.76,79.57,80.65,66.61,1.21,54.30,1058.48,Outros
59.04,45.96,30.65,28.39,62.97,77.19,79.27,65.30,1.23,52.70,1079.92,Outros
55.26,43.71,29.39,25.87,53.80,69.40,70.86,55.28,1.29,54.20,1073.27,Outros
64.16,46.12,37.08,27.07,69.55,82.75,84.92,71.45,1.19,52.00,1083.33,Outros
58.38,45.30,33.74,24.64,61.80,76.30,77.30,62.73,1.23,59.40,1066.43,Outros
60.43,43.06,31.25,29.18,57.25,73.08,74.43,58.66,1.28,45.20,1078.76,Outros
60.62,42.78,30.95,29.68,55.66,71.82,74.03,58.10,1.29,59.10,1072.60,Outros
55.44,42.05,30.49,24.95,49.13,65.39,67.70,51.33,1.33,51.60,1100.21,Outros
58.11,43.78,31.70,26.41,51.58,71.68,73.75,58.32,1.39,46.30,1097.16,Outros
57.59,43.76,33.69,23.90,50.60,74.58,73.29,57.73,1.47,56.90,1077.65,Outros
57.44,43.28,30.63,26.81,50.05,71.55,72.05,56.33,1.43,52.90,1073.02,Outros
58.79,43.73,32.17,26.62,57.72,73.17,74.31,58.88,1.27,56.40,1068.18,Outros
55.55,43.73,29.68,25.87,53.94,69.51,71.18,55.63,1.29,53.30,1076.77,Outros
60.56,45.48,32.92,27.64,63.34,77.66,79.78,65.59,1.23,55.50,1083.98,Outros
59.79,44.98,30.88,28.91,61.66,76.39,77.91,63.34,1.24,50.50,1081.37,Outros
58.56,43.73,30.15,28.41,58.06,73.35,74.06,58.65,1.26,51.70,1065.98,Outros
60.47,44.68,30.35,30.12,62.21,76.83,77.91,63.19,1.24,56.70,1077.95,Outros
57.94,46.10,30.50,27.43,63.07,77.20,78.46,64.47,1.22,49.50,1080.79,Outros
61.65,47.07,33.21,28.43,70.30,83.19,84.38,71.51,1.18,50.20,1077.25,Outros
56.49,45.37,30.14,26.35,58.78,73.47,75.48,60.88,1.25,51.50,1086.50,Outros
61.16,44.98,33.11,28.05,62.44,77.05,79.29,64.78,1.23,53.30,1081.14,Outros
60.47,44.91,32.87,27.60,61.63,76.32,78.45,63.85,1.24,58.60,1087.20,Outros
60.23,43.43,34.40,25.84,57.79,73.30,75.10,59.48,1.27,56.20,1074.57,Outros
61.97,47.42,34.37,27.60,71.98,84.41,85.54,72.97,1.17,62.10,1080.00,Outros
61.75,48.92,32.49,29.26,69.90,85.38,88.65,77.38,1.22,62.00,1078.26,Outros
55.17,43.83,29.48,25.69,50.02,72.36,71.02,55.50,1.45,51.40,1084.39,Outros
58.06,43.73,31.67,26.39,56.79,72.26,73.61,58.15,1.27,54.20,1084.00,Outros
59.54,43.96,33.65,25.89,58.55,73.85,75.56,60.25,1.26,52.10,1076.45,Outros
65.50,44.93,35.40,30.10,65.01,81.00,83.50,69.22,1.25,59.80,1077.48,Outros
59.92,46.64,31.09,28.84,65.82,79.27,81.65,68.27,1.20,61.00,1087.34,Outros
59.69,41.88,32.10,27.59,54.22,70.34,71.28,54.82,1.30,52.30,1056.57,Outros
59.79,45.48,32.65,27.14,62.67,77.08,79.02,64.76,1.23,59.70,1075.68,Outros
59.39,44.61,32.83,26.56,57.64,75.67,76.76,61.88,1.31,52.40,1082.64,Outros
56.03,44.13,30.14,25.89,56.03,71.37,72.47,57.14,1.27,53.90,1067.33,Outros
57.04,42.49,30.65,26.39,52.72,68.82,70.06,53.92,1.31,46.00,1074.77,Outros
59.33,44.01,32.69,26.64,58.25,73.58,75.42,60.16,1.26,55.30,1080.08,Outros
64.49,44.11,36.53,27.96,62.83,78.16,80.71,65.69,1.24,58.20,1075.79,Outros
59.94,44.64,31.34,28.60,60.89,75.66,77.34,62.55,1.24,59.60,1087.59,Outros
61.54,46.48,33.67,27.87,67.81,81.28,82.97,69.61,1.20,63.50,1063.65,Outros
61.54,44.46,31.40,30.13,61.34,76.33,78.51,63.70,1.24,61.10,1077.60,Outros
61.28,44.91,35.07,26.22,61.45,77.51,79.33,64.73,1.26,62.00,1080.14,Outros
62.44,44.64,32.34,30.10,63.24,77.90,79.80,65.16,1.23,60.00,1081.08,Outros
58.99,44.88,30.01,28.98,58.87,74.74,76.90,62.22,1.27,60.40,1080.50,Outros
61.00,44.69,31.88,29.12,60.99,76.00,78.49,63.80,1.25,61.20,1075.57,Outros
60.69,43.39,32.09,28.60,57.63,73.20,75.40,59.84,1.27,63.70,1079.66,Outros
59.65,47.34,29.95,29.70,67.65,80.81,82.90,70.01,1.19,62.50,1086.96,Outros
57.54,43.73,28.89,28.66,53.95,71.10,73.08,57.63,1.32,55.20,1073.93,Outros
61.75,44.44,32.13,29.62,58.03,76.18,78.68,63.86,1.31,57.60,1070.63,Outros
56.66,41.04,29.45,27.21,47.41,65.25,66.77,49.97,1.38,46.60,1071.26,Outros
58.16,42.31,31.22,26.94,52.08,68.43,70.74,54.51,1.31,47.40,1030.43,Outros
61.52,44.96,33.90,27.62,62.37,77.21,79.62,65.11,1.24,57.80,1078.36,Outros
57.77,45.48,32.92,24.85,59.51,74.60,77.06,62.57,1.25,53.30,1083.33,Outros
59.58,44.75,33.44,26.14,60.80,75.72,77.28,62.48,1.25,58.00,1068.14,Outros
60.72,44.16,33.88,26.84,60.09,75.14,77.11,62.00,1.25,58.30,1083.64,Outros
61.08,44.75,33.69,27.39,62.55,77.34,78.73,64.05,1.24,57.20,1069.16,Outros
60.65,44.05,31.22,29.43,57.55,74.51,76.76,61.63,1.29,57.30,1077.07,Outros
58.69,46.91,32.62,26.07,65.99,79.30,81.02,67.62,1.20,59.10,1082.42,Outros
57.31,45.25,30.43,26.89,59.33,74.10,76.05,61.45,1.25,55.90,1085.44,Outros
58.16,44.83,32.99,25.17,59.14,74.15,76.04,61.19,1.25,54.00,1073.56,Outros
57.36,43.78,30.20,27.16,55.57,71.22,73.01,57.57,1.28,53.30,1066.00,Outros
58.46,46.52,33.06,25.40,63.34,77.15,79.97,66.25,1.22,57.10,1071.29,Outros
58.48,46.69,30.13,28.35,62.62,77.63,80.28,66.76,1.24,62.20,1079.86,Outros
57.03,43.42,31.28,25.75,51.92,70.90,71.98,56.30,1.37,52.40,1082.64,Outros
59.43,43.24,32.65,26.77,56.51,72.34,73.89,58.18,1.28,52.80,1073.17,Outros
54.15,41.31,28.23,25.91,45.99,63.39,65.03,48.40,1.38,43.70,1087.06,Outros
56.97,44.43,30.88,26.09,56.79,71.90,73.99,58.87,1.27,54.40,1088.00,Outros
57.06,45.47,32.05,25.00,59.60,74.39,76.31,61.78,1.25,51.80,1088.24,Outros
58.83,45.03,30.43,28.41,60.39,75.23,77.06,62.45,1.25,51.00,1085.11,Outros
63.05,45.48,33.40,29.66,63.72,79.82,82.27,68.29,1.25,62.90,1082.62,Outros
61.08,46.00,32.19,28.89,65.77,79.71,81.42,67.68,1.21,61.70,1095.91,Outros
57.02,46.73,31.67,25.35,63.17,77.04,78.93,65.20,1.22,53.50,1070.00,Outros
56.25,42.89,31.56,24.69,52.51,68.52,70.18,54.19,1.30,45.10,1071.26,Outros
60.01,47.68,32.55,27.46,69.57,82.20,84.04,71.43,1.18,58.70,1085.03,Outros
59.79,45.23,33.67,26.12,62.19,76.70,78.51,64.05,1.23,54.90,1078.59,Outros
57.38,43.31,30.47,26.91,54.78,70.56,72.06,56.35,1.29,50.80,1092.47,Outros
58.62,43.85,34.33,24.30,57.21,72.05,74.48,59.02,1.26,47.80,1093.82,Outros
54.34,44.46,30.22,24.12,54.00,69.54,71.54,56.25,1.29,51.10,1062.37,Outros
56.17,42.84,32.47,23.70,52.78,68.78,70.02,53.96,1.30,51.60,1072.77,Outros
57.87,46.25,33.11,24.76,62.55,76.55,78.81,64.82,1.22,55.20,1078.13,Outros
57.66,45.33,30.45,27.21,60.60,75.19,76.54,62.02,1.24,59.50,1074.01,Outros
61.40,41.26,33.99,27.41,53.69,70.54,71.60,54.74,1.31,52.90,1058.00,Outros
55.39,43.83,30.23,25.17,53.66,69.32,71.25,55.72,1.29,50.10,1065.96,Outros
59.13,44.30,31.47,27.66,58.32,73.67,75.82,60.77,1.26,56.40,1062.15,Outros
57.74,44.39,32.52,25.22,57.48,72.58,74.70,59.56,1.26,55.10,1097.61,Outros
58.89,45.36,31.82,27.07,61.50,75.71,77.85,63.44,1.23,57.60,1068.65,Outros
57.31,44.75,30.65,26.66,53.24,73.34,75.00,60.11,1.38,57.20,1083.33,Outros
55.59,43.53,30.45,25.14,51.26,69.35,70.83,55.16,1.35,49.80,1080.26,Outros
55.14,41.56,31.22,23.92,48.45,65.05,66.49,49.88,1.34,50.00,1086.96,Outros
55.97,43.68,28.60,27.37,54.30,69.76,71.45,55.90,1.28,55.80,1077.22,Outros
58.56,43.73,33.92,24.64,57.35,72.91,74.16,58.65,1.27,55.80,1081.40,Outros
