61.44,46.14,33.09,28.35,82.40,62.10,1070.39
60.75,45.44,31.12,29.63,81.48,59.60,1075.60
59.73,45.67,33.62,26.12,78.42,56.90,1069.42
59.57,44.94,30.04,29.54,74.68,55.80,1066.83
56.09,42.26,29.43,26.66,67.62,50.00,1059.45
60.08,44.75,30.40,29.68,78.63,61.90,1068.79
56.17,42.25,29.08,27.09,67.50,52.20,1065.35
58.04,44.98,29.66,28.39,76.13,55.20,1065.56
60.29,46.73,30.90,29.39,81.95,60.40,1059.39
59.41,46.13,30.58,28.84,78.53,58.60,1063.32
60.31,46.00,31.15,29.16,82.10,62.50,1069.90
60.48,45.69,31.13,29.35,80.80,64.40,1071.19
56.66,42.88,30.33,26.34,70.17,53.90,1075.84
56.52,44.23,30.65,25.87,68.01,53.50,1067.86
56.64,45.37,30.07,26.57,72.27,55.80,1070.93
57.98,44.19,29.12,28.87,68.84,55.50,1073.43
56.82,44.01,31.45,25.37,69.11,53.60,1069.86
57.81,43.24,29.16,28.66,72.50,54.90,1070.12
57.45,43.16,28.85,28.60,69.94,55.20,1071.78
57.09,45.52,29.41,27.68,67.07,58.90,1074.63
57.41,45.38,29.83,27.59,75.72,56.40,1068.07
63.37,45.03,35.21,28.16,83.16,58.20,1067.71
60.93,45.38,33.60,27.32,78.71,57.90,1068.10
59.98,44.68,30.63,29.35,74.43,57.30,1066.89
57.06,42.74,28.91,28.16,67.52,50.00,1066.24
61.81,45.41,31.78,30.04,77.98,59.80,1081.17
61.74,47.15,32.27,29.47,84.40,62.20,1072.12
58.79,44.48,30.90,27.89,73.78,54.60,1079.03
59.06,46.50,30.18,28.89,75.24,60.20,1057.74
59.17,44.89,30.34,28.84,73.63,60.00,1069.29
59.82,45.12,30.42,29.40,73.55,61.70,1084.10
59.73,45.13,29.98,29.76,75.51,57.60,1066.51
57.47,45.29,28.98,28.49,73.75,54.00,1073.55
52.47,43.19,27.62,24.85,63.29,46.70,1073.88
57.46,44.63,30.23,27.24,72.02,56.80,1071.58
61.93,44.38,31.34,30.59,77.13,63.50,1056.22
58.45,44.41,29.87,28.59,71.89,58.30,1065.63
57.04,46.75,28.64,28.41,76.68,59.90,1081.02
59.47,47.17,32.38,27.09,78.85,61.30,1073.29
57.34,46.02,29.41,27.93,74.20,58.30,1069.55
54.55,43.76,28.41,26.14,71.88,50.50,1058.80
57.54,43.98,28.89,28.66,71.93,55.80,1072.99
58.58,44.26,29.90,28.68,75.03,58.00,1064.04
58.71,45.38,30.23,28.48,72.80,57.50,1064.66
58.12,47.09,29.56,28.56,76.25,60.20,1065.24
56.77,42.96,29.16,27.62,68.90,51.90,1063.58
59.02,45.71,30.65,28.37,78.96,62.00,1074.24
59.02,44.14,30.50,28.51,74.46,57.80,1062.33
57.76,46.07,29.23,28.54,78.53,58.60,1071.11
58.90,42.31,29.48,29.43,72.86,54.50,1079.19
59.23,43.93,30.62,28.62,81.75,58.40,1065.51
57.92,44.17,31.54,26.39,69.18,53.20,1068.28
61.64,47.15,31.09,30.55,79.28,62.20,1073.97
58.66,43.56,30.72,27.93,67.78,53.50,1067.86
59.72,43.16,31.37,28.35,70.79,53.70,1067.58
63.21,44.02,33.61,29.61,70.58,58.70,1061.28
58.14,44.23,29.53,28.61,72.28,56.40,1078.30
58.69,45.14,30.59,28.10,69.51,54.10,1073.40
56.38,44.48,30.32,26.06,68.60,53.40,1065.86
57.68,44.71,30.71,26.97,76.65,58.20,1069.68
57.94,45.54,29.61,28.33,71.72,57.00,1069.29
58.89,43.51,30.92,27.97,69.25,54.90,1063.89
60.04,46.48,30.88,29.16,77.06,62.30,1073.84
58.18,44.85,29.70,28.48,73.37,57.00,1071.30
54.19,41.39,27.34,26.85,61.08,47.50,1067.68
59.22,44.18,30.10,29.12,72.77,57.80,1058.43
56.61,45.30,29.43,27.18,69.43,56.30,1070.24
55.44,42.77,28.43,27.01,63.86,50.30,1061.30
57.46,43.11,32.00,25.47,66.30,52.80,1062.39
57.38,44.03,29.43,27.96,70.47,55.10,1069.84
57.49,41.87,30.53,26.96,64.38,52.10,1074.29
57.69,41.31,29.20,28.48,62.63,52.40,1067.25
58.15,42.62,31.09,27.06,66.65,54.90,1068.04
58.69,43.39,29.59,29.10,68.93,57.30,1074.91
54.20,43.11,27.46,26.74,63.19,47.80,1064.83
58.00,42.20,30.12,27.89,67.56,48.70,1054.29
57.52,42.71,29.16,28.37,66.97,51.20,1068.99
63.45,44.39,33.60,29.85,78.73,60.40,1059.39
61.17,43.56,31.75,29.43,73.34,55.30,1067.49
61.31,42.08,31.66,29.64,73.62,53.10,1059.88
59.33,45.77,32.92,26.41,75.98,57.50,1070.62
55.67,43.39,28.35,27.32,67.76,51.20,1068.99
55.95,43.16,29.60,26.35,66.65,53.60,1069.86
59.98,44.43,31.37,28.62,75.50,58.60,1065.26
57.22,44.39,29.98,27.24,69.89,55.70,1073.14
54.12,41.79,27.68,26.44,59.66,46.20,1059.94
58.20,45.41,30.12,28.09,72.69,56.70,1065.66
57.22,44.88,29.23,27.99,72.25,56.70,1075.79
55.77,42.47,29.66,26.12,63.82,50.00,1063.97
60.13,43.53,31.97,28.16,72.77,56.50,1063.91
57.69,44.06,30.35,27.34,69.95,53.80,1073.85
59.18,45.29,32.37,26.81,75.33,60.00,1065.48
56.16,43.63,30.58,25.59,68.94,53.40,1065.86
55.70,43.86,28.98,26.71,68.21,52.90,1058.00
56.57,43.51,29.18,27.39,66.82,53.90,1075.84
59.13,46.57,31.94,27.18,74.55,62.50,1081.02
56.25,42.94,28.14,28.12,65.27,53.00,1057.88
56.99,42.18,30.13,26.85,65.56,52.30,1043.91
58.63,43.01,32.47,26.16,69.94,51.20,1075.74
58.77,42.20,30.88,27.89,70.93,51.90,1063.58
60.73,45.42,30.87,29.87,73.11,58.40,1065.51
