@relation eggDataIMP3

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute class {0,1}

@data
61.49,43.85,34.29,27.20,60.35,7564.33,7719.84,61.91,1
64.08,45.49,33.68,30.40,68.45,8209.94,8333.29,69.45,0
59.96,46.63,30.97,28.99,66.43,8001.56,8164.73,68.26,1
61.17,45.06,30.72,30.45,62.28,7702.97,7944.69,65.04,1
57.87,44.70,31.57,26.30,58.82,7375.48,7546.03,60.56,1
59.62,45.64,30.57,29.05,61.86,7620.40,7914.77,65.02,1
61.70,46.54,32.59,29.11,68.07,8166.99,8323.94,69.97,0
59.81,46.20,31.54,28.27,65.38,7900.49,8057.36,66.85,1
56.79,46.26,30.68,26.11,61.32,7526.74,7767.43,63.64,1
59.99,46.38,32.52,27.47,65.72,7947.31,8115.09,67.55,1
58.54,46.70,30.77,27.77,64.30,7813.04,8036.13,66.84,1
56.27,43.21,28.40,27.88,53.62,6905.03,7079.37,55.02,0
57.76,45.21,29.64,28.12,60.26,7445.91,7638.13,61.81,1
59.58,45.76,30.42,29.17,63.49,7755.32,7937.66,65.33,1
60.76,45.30,32.15,28.61,62.50,7703.25,7956.54,65.28,1
60.17,47.60,31.97,28.20,68.28,8135.33,8402.80,71.39,1
56.37,43.34,31.11,25.27,53.82,6969.72,7119.56,55.45,1
61.08,45.20,32.57,28.52,63.06,7765.95,7968.88,65.35,1
60.42,44.83,31.70,28.72,61.99,7671.49,7821.69,63.59,1
59.40,45.29,30.20,29.20,61.92,7640.20,7818.57,63.80,0
63.35,49.69,34.18,29.18,78.48,8952.72,9216.30,81.91,1
57.36,45.29,29.43,27.93,59.64,7422.36,7616.41,61.61,1
61.81,43.78,31.52,30.28,61.46,7680.95,7728.90,62.02,1
63.08,45.68,33.54,29.54,67.64,8149.13,8273.32,68.91,1
57.65,44.06,30.70,26.95,55.94,7145.27,7387.60,58.60,1
60.60,46.53,31.19,29.42,66.25,7992.76,8208.11,68.69,1
62.82,48.91,32.41,30.42,75.28,8687.26,8975.75,78.69,1
60.86,47.75,30.54,30.32,70.97,8362.58,8506.42,72.67,1
58.90,44.06,30.72,28.18,59.03,7416.17,7507.83,59.87,1
57.42,44.08,29.47,27.95,56.77,7210.30,7368.09,58.42,1
60.71,44.60,30.97,29.74,62.78,7753.44,7800.29,63.24,1
61.09,46.01,30.68,30.40,66.51,8014.54,8143.83,67.71,1
61.09,46.71,31.06,30.03,67.22,8072.37,8298.68,69.80,1
59.31,45.49,33.16,26.14,62.94,7703.50,7859.00,64.27,1
62.74,45.60,31.52,31.22,66.50,8060.21,8220.48,68.31,0
63.61,45.01,34.94,28.66,66.81,8091.40,8180.42,67.47,0
62.08,46.45,31.29,30.79,68.12,8137.27,8342.26,70.14,1
63.16,46.71,31.60,31.55,70.37,8348.72,8511.30,72.16,1
59.74,46.40,33.26,26.47,65.90,7960.86,8097.69,67.34,0
60.32,44.31,31.52,28.80,59.62,7498.24,7700.30,62.02,1
59.78,44.72,29.89,29.89,61.22,7558.52,7733.12,62.60,1
60.03,43.15,30.52,29.52,56.67,7249.67,7424.87,58.54,0
59.78,44.52,30.74,29.05,60.67,7578.38,7691.25,62.04,1
59.99,46.60,31.16,28.83,67.06,8035.83,8162.49,68.22,1
61.01,47.92,31.74,29.27,70.74,8341.44,8560.34,73.36,1
59.44,44.85,29.72,29.72,60.97,7568.21,7728.26,62.61,1
57.81,44.70,31.07,26.75,59.30,7419.12,7539.24,60.50,1
61.99,45.63,32.02,29.97,66.04,7994.16,8150.28,67.56,1
60.05,45.36,31.45,28.61,63.51,7797.55,7899.15,64.70,1
61.61,47.23,32.34,29.27,70.31,8327.74,8467.90,71.95,1
62.99,48.62,34.24,28.74,75.03,8687.48,8931.54,77.98,1
61.28,45.65,32.52,28.77,64.66,7887.58,8086.09,66.87,0
60.76,44.13,30.74,30.02,60.84,7597.60,7702.15,61.95,1
63.47,46.01,34.15,29.32,68.30,8216.72,8388.31,70.35,1
61.85,44.76,32.92,28.93,63.90,7818.50,7948.37,64.88,0
60.15,46.86,31.75,28.40,66.11,8002.99,8235.13,69.14,1
63.87,45.84,33.09,30.78,69.74,8347.93,8388.62,70.27,1
62.64,44.40,32.19,30.45,63.38,7835.62,7947.14,64.67,1
60.95,46.04,33.37,27.58,67.22,8091.19,8140.56,67.65,1
64.70,45.35,32.60,32.10,67.39,8136.44,8360.60,69.65,0
62.56,45.43,31.79,30.77,66.28,8049.28,8163.19,67.59,1
62.58,46.20,31.57,31.02,68.24,8183.85,8337.89,69.95,1
59.60,46.78,32.94,26.66,66.22,7970.78,8165.57,68.28,0
59.65,47.83,31.97,27.68,69.63,8230.42,8400.18,71.46,0
59.37,45.29,30.95,28.41,62.43,7663.97,7815.77,63.77,1
62.44,45.58,31.74,30.70,66.17,8026.24,8186.33,67.93,1
59.09,46.73,29.79,29.29,65.78,7938.84,8097.18,67.55,0
56.96,44.91,30.09,26.87,58.29,7333.95,7496.86,60.14,1
60.48,47.10,30.60,29.89,68.33,8156.09,8322.21,70.26,1
57.68,47.07,31.63,26.06,64.39,7824.60,8031.59,66.91,1
59.13,46.06,29.95,29.18,63.41,7738.49,7957.34,65.69,1
61.45,45.79,30.88,30.57,66.48,8045.19,8132.18,67.47,1
61.92,46.86,32.73,29.19,68.68,8220.98,8417.45,71.18,1
59.04,46.23,29.64,29.40,64.03,7766.25,7985.42,66.08,1
62.10,48.31,33.59,28.51,73.70,8597.44,8765.66,75.90,0
60.07,44.81,31.27,28.80,60.59,7552.15,7781.98,63.15,1
62.47,45.97,32.51,29.96,66.43,8041.65,8274.93,69.11,1
59.15,43.74,30.57,28.58,57.93,7331.21,7463.02,59.24,1
56.44,45.80,28.26,28.18,60.04,7472.57,7631.60,61.99,0
60.85,45.78,32.69,28.16,64.24,7839.97,8070.99,66.76,1
61.84,47.90,31.59,30.25,72.98,8546.44,8643.14,74.31,1
60.54,46.47,30.52,30.03,66.56,8010.90,8188.95,68.45,0
59.53,45.43,30.54,28.99,62.01,7658.52,7860.81,64.32,1
60.17,45.33,30.20,29.97,63.75,7801.95,7903.63,64.74,1
58.22,45.26,29.50,28.72,60.42,7526.18,7694.45,62.45,1
61.32,48.27,31.16,30.17,72.94,8480.65,8669.69,74.80,1
64.04,46.71,32.68,31.36,72.14,8506.74,8603.10,73.17,0
60.98,47.28,30.49,30.49,69.60,8253.38,8414.28,71.39,1
63.06,43.40,32.27,30.79,61.34,7678.73,7769.29,62.20,1
65.51,44.35,34.26,31.24,65.82,8073.58,8219.84,67.47,1
63.39,44.90,34.25,29.14,65.13,7987.93,8132.91,66.91,1
59.06,47.48,29.79,29.27,68.29,8135.56,8257.78,69.70,0
60.49,47.40,30.99,29.49,69.01,8205.47,8388.40,71.15,1
61.51,47.15,31.52,29.99,69.82,8277.96,8438.81,71.59,1
57.76,44.40,29.24,28.52,58.31,7345.42,7468.05,59.63,0
61.56,46.75,31.91,29.65,69.35,8239.13,8355.53,70.44,1
60.06,46.00,30.66,29.40,65.03,7870.16,8036.58,66.53,1
58.68,45.79,30.10,28.58,61.98,7638.65,7853.59,64.42,1
57.67,45.33,30.22,27.45,60.09,7474.78,7655.84,62.05,1
56.77,43.82,28.80,27.97,56.02,7159.92,7251.27,57.08,1
56.84,45.79,28.68,28.16,60.88,7503.63,7670.40,62.41,1
59.13,44.44,31.48,27.65,59.16,7421.37,7611.68,61.15,1
57.90,43.81,30.22,27.68,56.90,7230.36,7358.57,58.19,1
58.94,45.60,31.24,27.70,62.30,7668.63,7840.92,64.18,1
63.67,47.08,31.95,31.72,70.94,8395.52,8648.33,73.91,1
61.89,47.04,30.95,30.93,69.41,8244.12,8454.50,71.72,1
56.16,43.49,29.85,26.30,53.34,6923.03,7125.71,55.61,1
58.17,44.33,29.20,28.97,58.35,7340.31,7493.01,59.86,1
60.19,45.85,32.72,27.47,64.32,7835.01,8022.43,66.26,1
62.52,46.96,31.90,30.62,70.41,8349.61,8500.93,72.19,1
59.10,45.68,30.67,28.43,63.40,7771.53,7872.00,64.57,1
57.21,45.38,30.77,26.45,59.47,7421.59,7621.67,61.68,1
58.34,45.48,30.29,28.05,61.42,7601.61,7753.96,63.19,0
59.88,43.54,29.95,29.93,58.08,7356.43,7492.18,59.44,1
56.04,44.95,28.02,28.02,57.44,7246.13,7415.06,59.30,1
59.35,44.07,31.53,27.82,58.10,7330.88,7555.52,60.37,0
64.58,47.95,32.81,31.77,76.43,8823.88,8941.30,77.74,0
60.87,46.04,31.94,28.93,66.04,7977.12,8129.77,67.57,1
63.21,46.10,32.49,30.72,68.02,8163.13,8380.57,70.35,1
60.20,44.40,31.40,28.80,60.11,7525.33,7707.52,62.15,1
60.45,44.62,31.96,28.49,60.90,7578.41,7779.01,63.01,1
61.09,46.22,32.09,28.99,65.49,7938.52,8191.53,68.34,0
60.37,47.30,30.18,30.18,68.88,8177.17,8352.94,70.70,1
60.69,47.10,31.99,28.70,69.25,8224.29,8345.52,70.51,1
61.02,45.45,31.15,29.88,63.91,7764.93,8014.61,66.00,1
62.56,45.68,32.27,30.29,67.35,8123.61,8218.90,68.34,0
64.56,46.85,32.41,32.16,71.97,8479.61,8688.15,74.21,1
61.26,46.85,31.16,30.10,70.18,8294.64,8347.50,70.41,0
59.67,47.74,32.97,26.70,68.61,8165.86,8384.44,71.21,1
59.94,45.08,31.24,28.70,61.56,7616.82,7827.62,63.79,1
58.38,44.04,30.20,28.18,57.18,7252.68,7453.04,59.29,1
58.49,42.88,32.76,25.72,55.54,7153.12,7225.78,56.30,1
57.76,44.02,30.00,27.77,57.42,7289.03,7389.83,58.62,1
57.29,44.00,29.14,28.15,57.22,7270.41,7339.22,58.08,1
57.60,45.39,30.57,27.03,59.97,7466.06,7661.90,62.13,1
60.42,44.56,30.45,29.97,62.40,7709.90,7762.25,62.82,1
63.08,44.43,34.59,28.49,63.01,7805.29,7999.63,65.19,1
58.86,43.52,31.69,27.18,57.00,7255.05,7392.84,58.38,1
57.34,44.73,30.29,27.05,58.43,7355.09,7498.16,60.08,0
58.42,45.58,31.24,27.18,61.23,7578.35,7784.97,63.55,0
58.69,48.10,33.01,25.68,68.82,8169.92,8365.09,71.11,0
57.96,45.63,29.24,28.72,61.81,7619.98,7746.52,63.18,1
59.48,44.32,29.89,29.59,59.94,7493.61,7618.28,61.17,1
60.40,44.06,31.22,29.18,59.22,7446.07,7653.58,61.40,1
56.66,44.15,32.14,24.51,57.06,7240.06,7317.23,57.84,1
57.63,46.31,28.95,28.68,62.59,7655.96,7859.57,64.72,1
58.53,47.67,30.67,27.86,68.54,8154.26,8245.37,69.63,1
62.29,44.83,33.90,28.39,63.84,7837.13,8008.87,65.55,1
61.34,45.26,31.19,30.15,64.54,7879.75,8004.59,65.79,1
57.76,44.13,29.77,27.99,56.75,7217.26,7410.82,58.89,1
59.69,44.08,29.97,29.72,59.82,7486.57,7588.22,60.73,1
56.79,44.43,30.79,26.00,56.19,7157.90,7381.82,58.69,0
57.09,47.30,30.43,26.66,65.02,7841.88,8018.03,66.87,1
58.93,44.02,31.35,27.58,57.45,7295.05,7502.14,59.78,1
61.60,45.53,32.44,29.17,66.34,8015.50,8090.50,66.85,1
60.17,44.58,30.47,29.70,60.94,7596.63,7742.04,62.62,0
58.42,43.31,30.97,27.45,55.45,7129.08,7304.85,57.38,0
60.87,46.42,31.48,29.39,66.06,8008.71,8213.38,68.69,1
60.94,48.60,30.74,30.20,72.26,8445.41,8705.48,75.38,1
60.87,44.52,30.93,29.93,61.54,7640.76,7798.26,63.18,1
59.46,45.10,30.22,29.24,62.03,7664.38,7784.15,63.34,0
57.11,42.52,28.68,28.43,53.59,6941.32,7016.78,54.07,1
61.53,46.67,32.04,29.49,69.02,8230.62,8336.29,70.19,1
58.17,48.60,30.20,27.97,70.37,8272.32,8413.39,71.95,0
58.81,44.93,31.04,27.77,60.11,7500.45,7683.23,62.15,1
59.29,44.23,31.40,27.90,59.53,7436.24,7582.43,60.73,1
57.56,43.99,31.44,26.13,56.80,7204.86,7367.01,58.33,1
62.89,43.46,33.56,29.32,60.82,7639.00,7766.54,62.19,0
58.42,44.58,30.45,27.97,59.98,7479.94,7571.04,60.80,1
60.96,47.13,33.51,27.45,70.15,8300.62,8381.84,70.89,1
58.31,44.43,32.04,26.27,59.63,7457.49,7531.59,60.27,0
59.46,45.63,31.49,27.97,62.82,7716.27,7897.95,64.81,1
57.50,45.86,29.14,28.36,61.15,7539.62,7749.39,63.31,1
57.82,45.24,31.69,26.13,59.69,7422.36,7655.16,61.97,1
59.58,44.31,29.79,29.79,60.55,7566.75,7626.64,61.26,1
60.46,45.60,30.99,29.47,64.08,7824.59,7991.95,65.84,1
59.99,45.13,30.99,28.99,61.89,7660.14,7841.27,63.96,1
58.21,43.55,29.60,28.61,55.27,7089.66,7333.88,57.81,1
59.11,45.79,30.68,28.43,62.57,7690.27,7898.18,64.91,1
60.17,45.01,31.10,29.07,62.18,7688.46,7835.43,63.84,1
61.26,44.63,30.99,30.27,61.17,7619.75,7858.96,63.88,1
60.01,46.90,31.27,28.74,66.62,8018.84,8229.58,69.11,0
58.62,46.76,32.09,26.52,64.22,7808.76,8059.80,67.10,1
62.21,46.10,31.47,30.74,67.35,8106.08,8278.46,69.24,1
62.01,44.23,32.55,29.46,61.87,7679.39,7848.52,63.52,1
62.97,43.41,32.23,30.74,59.73,7539.31,7762.07,62.13,0
57.40,44.31,30.45,26.95,56.72,7211.10,7415.34,59.01,1
63.31,44.93,33.17,30.13,65.84,8019.64,8129.10,66.91,1
59.09,46.54,30.10,28.99,64.57,7826.98,8056.55,67.01,1
57.40,43.59,29.61,27.79,56.21,7178.20,7264.71,57.11,1
63.14,46.23,32.09,31.04,68.95,8254.50,8400.65,70.65,1
56.26,44.65,30.52,25.75,56.90,7207.69,7377.18,58.73,0
58.71,43.98,29.50,29.21,57.89,7296.28,7472.54,59.47,1
63.40,48.06,32.03,31.37,74.57,8679.99,8841.13,76.66,1
61.57,47.75,31.37,30.20,73.53,8583.61,8578.89,73.49,0
61.33,46.95,32.29,29.05,68.85,8214.44,8377.72,70.79,1
58.46,45.79,31.91,26.55,60.61,7538.37,7835.48,64.18,1
56.90,42.70,28.68,28.22,53.87,6971.24,7034.38,54.33,0
60.69,44.33,31.72,28.97,61.38,7621.05,7740.30,62.45,1
55.94,44.85,28.99,26.95,57.40,7244.11,7385.09,58.93,1
62.89,45.82,31.93,30.96,67.45,8144.05,8285.19,69.15,1
56.24,44.31,28.73,27.52,55.51,7061.94,7302.69,57.83,1
61.78,46.76,31.36,30.42,68.84,8214.86,8379.89,70.73,1
59.06,43.09,30.42,28.64,55.94,7180.77,7318.47,57.41,0
57.89,46.85,29.14,28.75,64.40,7823.55,8001.35,66.53,1
59.99,46.13,30.99,28.99,65.74,7947.87,8057.79,66.82,0
62.95,43.83,33.02,29.93,61.30,7672.84,7852.60,63.32,0
59.07,44.21,30.57,28.50,57.96,7333.60,7555.32,60.45,1
58.22,44.33,29.55,28.67,58.43,7369.22,7496.83,59.89,1
57.56,42.68,30.04,27.52,54.93,7081.18,7092.91,54.91,1
59.54,44.86,30.38,29.16,61.30,7603.83,7740.53,62.75,1
60.00,45.44,30.89,29.12,64.18,7739.08,7911.28,64.88,1
60.44,47.60,30.47,29.97,69.92,8258.91,8429.01,71.71,1
62.53,47.17,31.52,31.02,70.98,8386.44,8550.12,72.86,0
58.26,44.20,29.34,28.92,58.33,7355.58,7474.63,59.60,0
61.77,45.26,32.27,29.50,64.17,7840.30,8048.72,66.25,1
63.65,45.19,32.09,31.55,66.57,8083.46,8220.01,68.05,1
63.35,46.59,33.82,29.53,70.36,8352.77,8505.91,72.00,1
59.67,45.08,30.20,29.47,62.09,7673.22,7800.04,63.50,1
60.52,45.84,30.62,29.89,65.35,7932.16,8049.19,66.59,0
53.71,43.72,29.83,23.87,50.69,6666.37,6942.87,53.75,1
58.88,45.43,33.26,25.63,61.41,7585.75,7804.60,63.64,1
61.73,45.79,31.88,29.85,66.69,8071.13,8160.78,67.77,1
58.38,45.96,29.77,28.62,62.35,7647.40,7860.06,64.57,1
60.74,46.96,31.36,29.39,67.09,8063.60,8318.40,70.14,1
58.99,45.05,33.18,25.81,60.63,7536.73,7733.65,62.70,0
63.16,44.98,34.12,29.05,65.88,8035.57,8128.87,66.92,1
60.44,46.91,30.52,29.93,67.93,8139.47,8275.24,69.64,1
60.90,47.83,31.45,29.45,70.41,8310.89,8528.78,72.96,0
59.63,47.55,30.18,29.45,68.38,8135.25,8332.36,70.58,1
59.99,45.63,31.24,28.74,63.38,7766.50,7949.54,65.38,1
60.00,45.23,30.87,29.14,63.30,7755.76,7866.22,64.28,0
61.99,44.60,30.99,30.99,63.13,7786.26,7925.54,64.57,1
62.14,47.81,31.44,30.70,72.80,8499.27,8653.31,74.38,0
59.74,45.63,31.27,28.47,65.08,7903.40,7924.71,65.11,0
63.38,47.75,32.07,31.32,73.83,8611.33,8770.67,75.68,0
58.32,47.26,29.17,29.15,66.40,7953.39,8134.51,68.21,1
63.82,46.60,31.94,31.88,71.40,8434.85,8554.75,72.57,1
61.11,45.98,31.07,30.04,66.06,7998.87,8139.51,67.65,0
61.36,44.70,32.59,28.77,63.24,7802.22,7887.76,64.21,1
63.61,44.68,32.32,31.29,64.87,7962.97,8102.61,66.48,1
61.94,46.06,33.49,28.45,66.74,8061.99,8244.83,68.81,0
59.51,46.47,31.85,27.66,64.77,7857.64,8086.08,67.28,1
62.06,47.42,32.02,30.04,69.95,8292.78,8557.52,73.08,1
60.57,43.49,31.16,29.42,58.23,7363.67,7548.33,59.99,1
62.42,43.74,32.59,29.82,60.97,7615.01,7780.20,62.51,1
63.37,45.30,33.83,29.54,65.94,8046.52,8220.19,68.10,1
62.71,47.35,32.22,30.49,72.42,8494.68,8610.06,73.63,0
58.10,46.38,29.83,28.26,63.06,7698.02,7920.85,65.43,1
59.92,46.08,32.99,26.93,64.46,7853.19,8046.07,66.63,1
58.29,44.48,29.64,28.65,59.57,7429.14,7536.11,60.38,0
56.74,43.88,28.49,28.24,56.07,7148.87,7259.68,57.19,1
55.09,43.52,28.68,26.41,53.06,6867.60,7030.39,54.64,1
60.16,48.19,30.82,29.34,70.72,8329.85,8531.50,73.17,0
59.92,44.23,30.32,29.60,59.59,7490.04,7643.80,61.40,1
58.96,45.63,29.74,29.22,63.29,7745.57,7846.38,64.27,1
59.84,44.90,31.16,28.68,61.00,7599.15,7778.34,63.16,1
58.79,45.43,29.79,28.99,61.48,7611.15,7785.97,63.52,1
62.29,47.07,33.65,28.64,70.69,8351.17,8504.85,72.26,0
60.24,48.40,32.76,27.47,71.86,8413.80,8588.36,73.88,1
60.00,45.73,30.42,29.59,64.98,7887.73,7972.60,65.69,1
60.67,45.51,30.82,29.86,63.21,7749.13,7992.00,65.79,1
60.26,44.38,31.54,28.72,60.77,7574.12,7707.85,62.14,1
58.65,43.06,30.20,28.45,55.39,7125.63,7273.55,56.94,1
61.49,44.60,32.24,29.24,63.50,7809.59,7877.27,64.05,0
60.74,48.24,31.70,29.05,71.60,8395.31,8603.79,74.02,1
55.04,45.79,27.82,27.22,59.05,7361.04,7489.98,60.42,1
61.11,45.35,31.61,29.50,66.72,8071.48,8000.59,65.79,0
62.24,45.10,31.24,30.99,64.45,7893.72,8059.78,66.29,1
53.69,44.13,28.47,25.22,53.81,6924.55,7019.89,54.74,1
60.89,47.01,31.07,29.82,68.33,8160.59,8343.28,70.45,0
58.22,45.51,29.46,28.76,63.16,7744.00,7747.27,63.13,1
60.67,48.10,33.74,26.93,71.89,8419.12,8570.95,73.51,1
62.64,46.67,33.47,29.18,71.54,8456.82,8451.85,71.45,1
64.17,46.67,32.23,31.94,71.04,8432.69,8606.94,73.19,1
60.46,43.60,33.49,26.97,58.72,7416.60,7566.43,60.19,1
62.11,47.42,32.97,29.14,70.97,8386.48,8563.49,73.13,1
60.27,45.96,32.20,28.07,65.37,7932.64,8052.28,66.66,1
59.67,47.86,32.45,27.22,69.58,8243.16,8408.56,71.55,1
59.82,45.49,30.67,29.15,63.84,7784.06,7904.18,64.83,1
55.86,42.54,29.45,26.41,51.29,6745.83,6904.61,52.93,1
60.76,43.38,33.79,26.97,58.56,7424.59,7547.11,59.86,1
59.96,46.38,30.49,29.47,66.58,8023.47,8109.59,67.52,1
57.34,46.12,31.01,26.33,62.07,7644.86,7792.40,63.86,1
60.10,47.78,30.18,29.92,70.05,8265.25,8432.56,71.84,0
57.01,44.65,31.29,25.72,57.66,7280.61,7451.30,59.52,1
59.69,43.58,30.97,28.72,57.77,7329.42,7482.84,59.36,1
61.53,43.63,31.29,30.24,60.54,7590.22,7670.20,61.32,1
61.03,45.65,31.29,29.74,64.09,7838.75,8059.52,66.60,1
62.17,48.33,31.45,30.72,74.92,8656.18,8774.70,76.05,1
59.89,47.29,30.32,29.57,68.20,8117.14,8301.92,70.12,1
59.06,45.70,30.29,28.77,63.96,7807.35,7872.90,64.59,1
60.17,44.02,30.10,30.07,59.12,7444.18,7621.40,61.04,1
59.94,44.08,31.72,28.22,59.83,7494.25,7614.09,60.99,1
57.67,45.85,28.95,28.72,60.92,7533.32,7765.55,63.49,1
63.19,46.08,31.74,31.45,68.84,8242.58,8373.57,70.27,1
65.13,48.80,33.21,31.92,78.63,8971.56,9196.74,81.20,1
58.71,45.38,31.49,27.22,61.42,7596.73,7770.28,63.30,1
64.87,46.28,32.69,32.19,71.50,8460.31,8589.39,72.74,0
61.44,46.21,33.79,27.65,66.42,8026.33,8229.15,68.71,1
57.19,42.70,31.03,26.16,52.84,6870.54,7064.25,54.61,0
62.42,44.70,32.15,30.27,63.45,7829.74,7989.87,65.30,0
59.84,47.42,33.90,25.93,68.94,8207.10,8334.00,70.45,1
62.14,44.60,31.07,31.07,63.85,7842.42,7940.74,64.73,1
58.81,44.18,29.52,29.29,58.87,7409.38,7523.25,60.10,0
62.96,47.83,31.72,31.24,72.42,8494.85,8744.46,75.43,0
59.74,45.26,34.04,25.70,62.16,7697.32,7854.98,64.09,1
60.38,46.31,30.45,29.93,66.37,7997.29,8138.46,67.81,1
61.65,47.21,31.24,30.42,70.34,8334.73,8466.50,71.94,1
59.64,46.73,31.35,28.30,66.16,7956.25,8155.21,68.19,1
57.80,46.25,29.40,28.40,62.51,7640.90,7862.96,64.73,1
57.11,44.04,31.70,25.41,56.03,7128.10,7334.91,58.00,1
61.36,45.98,32.84,28.52,66.12,8009.58,8167.01,67.93,0
60.84,45.76,32.17,28.66,65.10,7905.74,8065.02,66.70,0
60.36,47.41,31.11,29.25,68.59,8153.23,8378.57,71.04,1
55.78,45.73,29.89,25.89,58.36,7290.09,7554.60,61.09,1
58.59,45.23,31.54,27.05,61.11,7576.66,7727.75,62.77,1
57.56,43.78,30.04,27.52,55.43,7092.00,7318.54,57.75,1
53.90,42.58,27.47,26.43,50.62,6656.87,6728.92,51.17,1
60.57,46.00,31.17,29.40,66.19,7986.11,8088.76,67.10,1
60.26,46.44,30.89,29.38,66.00,7974.85,8155.31,68.06,1
55.10,45.84,28.56,26.54,58.82,7337.54,7507.53,60.63,1
57.42,44.83,30.47,26.95,58.96,7379.86,7526.35,60.43,1
56.29,43.87,29.67,26.62,55.31,7093.51,7216.39,56.72,1
57.34,45.98,28.83,28.52,62.21,7648.84,7759.94,63.48,1
57.47,46.05,30.49,26.98,61.41,7595.22,7788.74,63.80,1
63.29,47.28,35.07,28.22,70.85,8352.41,8660.09,74.09,1
58.71,46.54,30.85,27.86,64.69,7856.48,8018.78,66.58,1
59.70,42.95,32.51,27.19,55.53,7147.18,7354.25,57.67,1
57.35,45.28,29.92,27.43,59.53,7415.81,7611.74,61.55,1
58.77,46.47,29.73,29.05,64.15,7807.33,8008.96,66.45,1
60.40,45.06,31.20,29.20,62.76,7732.23,7868.61,64.22,1
58.69,46.35,30.49,28.20,65.21,7891.78,7976.31,66.03,1
60.71,46.10,30.99,29.72,65.80,7972.46,8126.21,67.57,1
59.99,45.13,31.02,28.97,62.93,7739.04,7841.35,63.96,1
58.15,44.56,30.45,27.70,58.76,7378.58,7540.33,60.46,1
59.38,44.44,30.70,28.68,59.21,7428.31,7634.61,61.40,0
65.03,48.62,34.29,30.74,78.33,8961.56,9147.49,80.51,1
61.34,48.53,31.94,29.40,73.97,8564.13,8731.80,75.64,1
63.80,45.71,31.91,31.89,66.97,8074.20,8351.74,69.80,1
60.38,44.79,31.45,28.93,60.79,7554.11,7808.99,63.43,1
61.94,47.49,32.76,29.18,71.12,8381.02,8561.71,73.15,1
62.49,49.15,32.24,30.24,76.47,8772.47,8994.17,79.03,1
58.54,47.70,31.77,26.77,66.69,8001.62,8255.86,69.73,1
57.93,45.04,30.38,27.55,59.97,7486.05,7621.12,61.55,1
66.02,45.44,33.14,32.88,69.97,8272.64,8517.00,71.39,1
57.65,44.02,29.57,28.08,57.25,7262.45,7377.08,58.48,1
58.90,46.33,31.47,27.43,64.82,7858.64,7994.43,66.20,1
56.88,45.81,28.70,28.18,60.57,7495.82,7677.86,62.50,1
60.52,47.38,31.13,29.39,69.41,8225.06,8388.44,71.14,0
60.24,46.90,30.49,29.74,68.38,8148.02,8252.04,69.37,1
57.66,44.02,29.59,28.07,56.72,7216.33,7377.84,58.49,1
63.72,46.04,32.37,31.35,68.16,8206.72,8417.99,70.72,1
60.01,46.40,31.79,28.22,65.63,7951.62,8121.14,67.65,1
60.39,46.86,30.42,29.98,68.05,8149.60,8259.00,69.43,1
64.31,48.24,34.17,30.14,76.85,8809.72,8981.50,78.35,1
59.76,44.90,31.04,28.72,62.08,7671.81,7770.81,63.09,1
58.62,44.23,32.32,26.30,58.02,7329.05,7521.10,60.06,1
66.66,47.04,36.98,29.68,73.24,8627.66,8956.83,77.25,1
59.83,45.51,31.19,28.65,63.37,7754.98,7909.35,64.89,1
58.40,44.56,30.22,28.18,59.00,7397.68,7564.43,60.72,1
67.28,48.15,34.79,32.49,80.47,9147.46,9275.31,81.67,0
61.96,47.10,31.72,30.24,68.81,8183.80,8475.85,71.98,1
59.87,44.27,31.20,28.66,59.42,7452.25,7647.06,61.44,1
61.65,46.31,30.93,30.72,68.40,8185.86,8267.89,69.24,1
60.51,46.40,30.99,29.52,66.01,7992.40,8170.58,68.21,1
61.44,45.06,33.22,28.22,64.48,7886.15,7974.67,65.32,1
59.94,46.08,30.72,29.22,63.90,7804.42,8043.56,66.65,1
62.89,46.04,33.19,29.70,68.67,8215.82,8335.33,69.81,0
59.44,43.58,30.97,28.47,57.50,7294.41,7458.91,59.11,1
60.12,46.54,31.44,28.68,66.46,7998.91,8162.96,68.19,1
57.40,43.56,30.20,27.20,54.97,7074.49,7258.82,57.03,1
59.31,46.20,32.04,27.27,64.19,7829.98,8008.51,66.29,1
56.69,45.63,30.47,26.22,60.32,7484.03,7622.47,61.79,0
58.35,43.77,30.68,27.66,57.45,7272.09,7394.09,58.54,1
59.07,43.74,29.65,29.42,58.31,7347.59,7455.96,59.17,1
59.49,45.13,30.77,28.72,62.03,7663.38,7791.74,63.43,0
58.21,44.05,31.16,27.05,58.91,7395.85,7440.12,59.14,0
60.38,45.79,32.72,27.66,64.69,7874.29,8028.47,66.30,0
60.05,45.43,32.04,28.01,63.05,7740.37,7916.11,64.91,1
62.32,46.27,31.21,31.11,68.04,8149.99,8325.43,69.85,1
59.56,43.93,30.79,28.77,57.72,7325.44,7543.63,60.18,1
60.06,44.18,30.77,29.29,59.62,7486.30,7645.15,61.38,0
58.69,43.33,30.24,28.45,56.06,7173.89,7334.12,57.70,1
57.88,46.81,29.18,28.70,65.54,7904.32,7992.44,66.41,1
